"reino","filo","classe","ordem","familia","genero","especie","subespecie","autor","latitude","longitude","datum","formato_original","precisao_da_coordenada","referencia_aproximacao","metodologia_aproximacao","descricao_do_metodo_aproximacao","taxon_citado","presenca_atual","tipo_registro","dia","mes","ano","hora","dia_fim","mes_fim","ano_fim","endemica_brasil","data_e_ano_desconhecidos","localidade","caracteristica_da_localidade","uc_federais","uc_nao_federais","rppn","pais","estado","municipio","ambiente","habitat","elevacao_minima","elevacao_maxima","profundidade_minima","profundidade_maxima","identificador","data_identificacao","identificacao_incerta","tombamento","instituicao_tombamento","compilador","data_compilacao","revisor","data_revisao","validador","data_validacao","autor_registro","referencia_bibliografica","base_dados","id_origem","observacao"
"Animalia","Chordata","Reptilia","Squamata","Gymnophthalmidae","Cercosaura","Cercosaura schreibersii","","Wiegmann, 1834","-10.8667","-61.95","Nao informado","Graus decimais","Desconhecida","","","","","","","","","","","","","","Nao","","","","","","","Brasil","Rondonia","Ji-Parana","","","","","","","","","","","CHUNB, Colecao Herpetologica da Universidade de Brasilia","","","","","","","Wiegmann, 1834","","SALVE","608","Base de dados ciclo 1, GC"
"Animalia","Chordata","Reptilia","Squamata","Gymnophthalmidae","Cercosaura","Cercosaura schreibersii","","Wiegmann, 1834","-15.7759699999999","-47.7977899999999","Nao informado","Graus decimais","Desconhecida","","","","","","","","","","","","","","Nao","","","","APA do Planalto Central","APA DO LAGO PARANOA","","Brasil","Distrito Federal","Brasilia","","","","","","","","","","","","","","","","","","Wiegmann, 1834","Nogueira, C.D.C. (2006) Diversidade e Padroes de Distribuicao da Fauna de Lagartos do Cerrado. Tese de Doutorado. Universidade de Sao Paulo, Instituto de Biociencias. Sao Paulo. 296pp.","SALVE","1980","base de dados ciclo 1, GC"
"Animalia","Chordata","Reptilia","Squamata","Gymnophthalmidae","Cercosaura","Cercosaura schreibersii","","Wiegmann, 1834","-15.947319","-47.939332","Nao informado","Graus decimais","Desconhecida","","","","","","","","","","","","","","Nao","","","","APA do Planalto Central, ARIE Capetinga-Taquara","APA DA BACIA DOS RIBEIROES DO GAMA E CABECA DE VEADO","","Brasil","Distrito Federal","Brasilia","","","","","","","","","","","CHUNB, Colecao Herpetologica da Universidade de Brasilia","","","","","","","Wiegmann, 1834","","SALVE","554","Base de dados ciclo 1, GC"
"Animalia","Chordata","Reptilia","Squamata","Gymnophthalmidae","Cercosaura","Cercosaura schreibersii","","Wiegmann, 1834","-29.7333333333332","-53.75","Nao informado","Graus decimais","Desconhecida","","","","","","","","","","","","","","Nao","","","","","","","Brasil","Rio Grande do Sul","Santa Maria","","","","","","","","","","","","","","","","","","Wiegmann, 1834","Winck, G.R., Santos, T.G.D. & Cechin, S.Z. (2011) Pampean lizard assemblage from subtropical Brazil: a temporal analysis. Anais da Academia Brasileira de Ciencias. 83 (4), 1345-1358.","SALVE","2007","base de dados ciclo 1, GC"
"Animalia","Chordata","Reptilia","Squamata","Gymnophthalmidae","Cercosaura","Cercosaura schreibersii","","Wiegmann, 1834","-30.4231944444443","-52.3115","Nao informado","Graus decimais","Desconhecida","","","","","","","","","","","","","","Nao","","","","","","","Brasil","Rio Grande do Sul","Dom Feliciano","","","","","","","","","","","","","","","","","","Wiegmann, 1834","Balestrin, R.L., Cappellari, L.H. & Outeiral, A.B. (2010) Reproductive biology of Cercosaura schreibersii (Squamata, Gymnophthalmidae) and Cnemidophorus lacertoides (Squamata, Teiidae) in Sul-Riograndense shield, Brazil. Biota Neotropica. 10 (1), 131-139.","SALVE","1989","base de dados ciclo 1, GC"
"Animalia","Chordata","Reptilia","Squamata","Gymnophthalmidae","Cercosaura","Cercosaura schreibersii","","Wiegmann, 1834","-22.8111297796","-49.2228649108","Nao informado","Graus decimais","Aproximada","Unidade de Conservacao","Centroide","","Cercosaura schreibersii","","Coleta","","3","2009","","","","","Nao","","","","","ESTAcaO ECOLoGICA DE SANTA BaRBARA","","Brasil","Sao Paulo","Aguas de Santa Barbara","","","","","","","","","","104301","MZUSP","","","","","","","Wiegmann, 1834","Araujo, C., Nascimento, B., Maffei, F., Moya, G., Correa, D. & Santos, S. (2014) Lizards from Estacao Ecologica de Santa Barbara, a remnant of Cerrado in the state of Sao Paulo, Brazil. Check List. 10, 1038.","SALVE","",""
"Animalia","Chordata","Reptilia","Squamata","Gymnophthalmidae","Cercosaura","Cercosaura schreibersii","","Wiegmann, 1834","-14.4311279999999","-47.4248199999999","Nao informado","Graus decimais","Desconhecida","","","","","","","","","","","","","","Nao","","","","","","","Brasil","Goias","Sao Joao d'Alianca","","","","","","","","","","","CHUNB, Colecao Herpetologica da Universidade de Brasilia","","","","","","","Wiegmann, 1834","","SALVE","577","Base de dados ciclo 1, GC"
"Animalia","Chordata","Reptilia","Squamata","Gymnophthalmidae","Cercosaura","Cercosaura schreibersii","","Wiegmann, 1834","-16.12078","-48.48563","Nao informado","Graus decimais","Desconhecida","","","","","","","","","","","","","","Nao","","","","","","","Brasil","Goias","Alexania","","","","","","","","","","","CHUNB, Colecao Herpetologica da Universidade de Brasilia","","","","","","","Wiegmann, 1834","","SALVE","556","Base de dados ciclo 1, GC"
"Animalia","Chordata","Reptilia","Squamata","Gymnophthalmidae","Cercosaura","Cercosaura schreibersii","","Wiegmann, 1834","-16.12744","-48.0772199999999","Nao informado","Graus decimais","Desconhecida","","","","","","","","","","","","","","Nao","","","","","","","Brasil","Goias","Novo Gama","","","","","","","","","","","CHUNB, Colecao Herpetologica da Universidade de Brasilia","","","","","","","Wiegmann, 1834","","SALVE","574","Base de dados ciclo 1, GC"
"Animalia","Chordata","Reptilia","Squamata","Gymnophthalmidae","Cercosaura","Cercosaura schreibersii","","Wiegmann, 1834","-16.55405","-48.02176","Nao informado","Graus decimais","Desconhecida","","","","","","","","","","","","","","Nao","","","","","","","Brasil","Goias","Luziania","","","","","","","","","","","CHUNB, Colecao Herpetologica da Universidade de Brasilia","","","","","","","Wiegmann, 1834","","SALVE","563","Base de dados ciclo 1, GC"
