"Species"	"Order"	"Suborder"	"Family"	"Genus"	"Description.author.s"	"Description.year"	"Subspecies"	"Main.biogeographic.region"	"Microhabitat"	"Habitat.type"	"Minimal.elevation..m."	"Maximum.elevation..m."	"Mean.Annual.Temperature...C."	"Temperature.Seasonality..standard.deviation.100."	"Seasonality.Precipitation..coefficient.of.variation...100."	"Insular.endemic..yes.or.no."	"Venomous..yes.or.no."	"Diet"	"Diet..comments"	"Active.time"	"Dorsal.colour"	"Dorsal.pattern"	"Foraging.mode"	"Pupil.Shape"	"Fangs"	"Maximum.Longevity..years."	"Maximum.body.mass..g."	"Maximum.total.length...TL...mm."	"Maximum.length...SVL...mm..straight.carapace.length.for.turtles...SCL...mm."	"Maximum.female.length...SVL...mm..straight.carapace.length.for.turtles...SCL...mm."	"Maximum.male.length...SVL...mm..straight.carapace.length.for.turtles...SCL...mm."	"Maximum.juvenile.length...SVL...mm..straight.carapace.length.for.turtles...SCL...mm."	"Hatchling.neonate.mass..g."	"Reproductive.mode"	"Sex.determining.mechanism..GSD.or.TSD."	"Mean.number.of.offspring.per.litter.or.number.of.eggs.per.clutch"	"Smallest.clutch.size"	"Largest.clutch.size"	"Number.of.litters.or.clutches.produced.per.year"	"Egg.length..mm."	"Egg.width..mm."	"Mean.Tb"	"Minimum.Tb"	"Maximum.Tb"	"Genetic.data..yes.or.not."	"IUCN.redlist.assessment"	"IUCN.population.trend"	"X"
"Tretioscincus oriximinensis"	"Squamata"	"Sauria"	"Gymnophthalmidae"	"Tretioscincus"	"Avila-Pires"	1995	"No"	"Neotropic"	"Terrestrial"	"Forest/Savanna"	100	600	NA	NA	11.67	"No"	"No"	"Carnivorous"	"Arthropods"	"Diurnal"	NA	NA	"ACT"	NA	"non-fanged"	NA	3.7	NA	55	NA	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Trilepida acutirostris"	"Squamata"	"Serpentes"	"Leptotyphlopidae"	"Trilepida"	"Pinto & Curcio"	2011	"No"	"Neotropic"	"Fossorial"	NA	NA	NA	NA	NA	NA	"No"	"No"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	"Least Concern"	"Unknown"	NA
"Trilepida brasiliensis"	"Squamata"	"Serpentes"	"Leptotyphlopidae"	"Trilepida"	"Laurent"	1949	"No"	"Neotropic"	"Fossorial"	"Savanna/Shrubland"	NA	NA	NA	NA	NA	"No"	"No"	NA	NA	NA	NA	NA	NA	NA	"non-fanged"	NA	6.4	322	NA	NA	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Trilepida dimidiata"	"Squamata"	"Serpentes"	"Leptotyphlopidae"	"Trilepida"	"Jan"	1861	"No"	"Neotropic"	"Fossorial"	NA	NA	NA	NA	NA	NA	"No"	"No"	NA	NA	NA	NA	NA	NA	NA	"non-fanged"	NA	4.8	281	NA	NA	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Stable"	NA
"Trilepida fuliginosa"	"Squamata"	"Serpentes"	"Leptotyphlopidae"	"Trilepida"	"Passos, Caramaschi & Pinto"	2006	"No"	"Neotropic"	"Fossorial"	"Savanna"	NA	NA	NA	NA	NA	"No"	"No"	NA	NA	NA	NA	NA	NA	NA	"non-fanged"	NA	5.6	303	207.25	NA	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Trilepida jani"	"Squamata"	"Serpentes"	"Leptotyphlopidae"	"Trilepida"	"Pinto & Fernandes"	2012	"No"	"Neotropic"	"Fossorial"	"Grassland"	NA	NA	NA	NA	NA	"No"	"No"	NA	NA	NA	NA	NA	NA	NA	"non-fanged"	NA	4.1	262	NA	NA	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	"Least Concern"	"Unknown"	NA
"Trilepida koppesi"	"Squamata"	"Serpentes"	"Leptotyphlopidae"	"Trilepida"	"Amaral"	1955	"No"	"Neotropic"	"Fossorial"	"Grassland/Savanna"	NA	NA	NA	NA	NA	"No"	"No"	NA	NA	NA	NA	NA	NA	NA	"non-fanged"	NA	7.1	337	NA	NA	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Trilepida macrolepis"	"Squamata"	"Serpentes"	"Leptotyphlopidae"	"Trilepida"	"Peters"	1858	"No"	"Neotropic"	"Fossorial"	"Forest"	68	1295	NA	NA	NA	"No"	"No"	NA	NA	NA	NA	NA	NA	NA	"non-fanged"	NA	10.3	400	279.7	NA	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Trilepida salgueiroi"	"Squamata"	"Serpentes"	"Leptotyphlopidae"	"Trilepida"	"Amaral"	1955	"No"	"Neotropic"	"Fossorial"	"Forest/Shrubland"	0	1200	NA	NA	NA	"No"	"No"	"Carnivorous"	"Amphibians, mammals, reptiles"	"Nocturnal"	"Green"	NA	"ACT"	NA	"non-fanged"	NA	6.7	351	NA	NA	NA	NA	NA	"oviparous"	NA	12	11	13	NA	NA	NA	NA	NA	NA	"No"	"Least Concern"	"Unknown"	NA
"Tropidodryas serra"	"Squamata"	"Serpentes"	"Colubridae"	"Tropidodryas"	"Schlegel"	1837	"No"	"Neotropic"	"Arboreal/Terrestrial"	"Forest"	0	100	NA	NA	0.3	"No"	NA	"Carnivorous"	"Amphibians, birds, reptiles"	"Diurnal"	"Black/Brown"	"Banded/blotched"	NA	"round (or oval)"	"rear-fanged"	NA	180.6	1250	NA	NA	NA	NA	NA	"oviparous"	"GSD (ZW/ZZ)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
