"Species"	"Order"	"Suborder"	"Family"	"Genus"	"Description.author.s"	"Description.year"	"Subspecies"	"Main.biogeographic.region"	"Microhabitat"	"Habitat.type"	"Minimal.elevation..m."	"Maximum.elevation..m."	"Mean.Annual.Temperature...C."	"Temperature.Seasonality..standard.deviation.100."	"Seasonality.Precipitation..coefficient.of.variation...100."	"Insular.endemic..yes.or.no."	"Venomous..yes.or.no."	"Diet"	"Diet..comments"	"Active.time"	"Dorsal.colour"	"Dorsal.pattern"	"Foraging.mode"	"Pupil.Shape"	"Fangs"	"Maximum.Longevity..years."	"Maximum.body.mass..g."	"Maximum.total.length...TL...mm."	"Maximum.length...SVL...mm..straight.carapace.length.for.turtles...SCL...mm."	"Maximum.female.length...SVL...mm..straight.carapace.length.for.turtles...SCL...mm."	"Maximum.male.length...SVL...mm..straight.carapace.length.for.turtles...SCL...mm."	"Maximum.juvenile.length...SVL...mm..straight.carapace.length.for.turtles...SCL...mm."	"Hatchling.neonate.mass..g."	"Reproductive.mode"	"Sex.determining.mechanism..GSD.or.TSD."	"Mean.number.of.offspring.per.litter.or.number.of.eggs.per.clutch"	"Smallest.clutch.size"	"Largest.clutch.size"	"Number.of.litters.or.clutches.produced.per.year"	"Egg.length..mm."	"Egg.width..mm."	"Mean.Tb"	"Minimum.Tb"	"Maximum.Tb"	"Genetic.data..yes.or.not."	"IUCN.redlist.assessment"	"IUCN.population.trend"	"X"
"Acratosaura mentalis"	"Squamata"	"Sauria"	"Gymnophthalmidae"	"Acratosaura"	"Amaral"	1933	"No"	"Neotropic"	"Terrestrial"	"Forest/Savanna"	240	1120	NA	NA	34.24	"No"	"No"	NA	NA	"Diurnal"	NA	NA	"ACT"	NA	"non-fanged"	NA	4.7	NA	59	52.5	NA	NA	NA	"oviparous"	NA	1.6	1	2	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Acratosaura spinosa"	"Squamata"	"Sauria"	"Gymnophthalmidae"	"Acratosaura"	"Rodrigues, Cassimiro, De Freitas & Santos Silva"	2009	"No"	"Neotropic"	"Terrestrial"	"Savanna"	NA	NA	NA	NA	26.2	"No"	"No"	NA	NA	NA	NA	NA	NA	NA	"non-fanged"	NA	3.3	NA	53	53	NA	NA	NA	"oviparous"	NA	6.5	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	"Data Deficient"	"Unknown"	NA
"Adelphostigma occipitalis"	"Squamata"	"Serpentes"	"Colubridae"	"Adelphostigma"	"Jan"	1863	"No"	"Neotropic"	"Fossorial/Terrestrial"	"Forest"	NA	NA	NA	NA	0.3	"No"	NA	"Carnivorous"	"Invertebrates "	"Nocturnal"	"Brown"	"Blotched"	"ACT"	"round (or oval)"	"rear-fanged"	NA	40.5	660	NA	NA	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	"Least Concern"	"Stable"	NA
"Adelphostigma quadriocellata"	"Squamata"	"Serpentes"	"Colubridae"	"Adelphostigma"	"Santos, Di-Bernardo & De Lema"	2008	"No"	"Neotropic"	"Terrestrial"	NA	NA	NA	NA	NA	0.6	"No"	NA	NA	NA	NA	NA	NA	NA	NA	"rear-fanged"	NA	37	550	NA	NA	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	"Least Concern"	"Unknown"	NA
"Alexandresaurus camacan"	"Squamata"	"Sauria"	"Gymnophthalmidae"	"Alexandresaurus"	"Rodrigues, Pellegrino, Dixo, Verdade, Pavan, Argolo & Sites"	2007	"No"	"Neotropic"	"Terrestrial"	"Forest"	770	900	NA	NA	20.77	"No"	"No"	NA	NA	NA	NA	NA	NA	NA	"non-fanged"	NA	8.1	NA	70	58	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	"Near Threatened"	"Unknown"	NA
"Alopoglossus amazonius"	"Squamata"	"Sauria"	"Alopoglossidae"	"Alopoglossus"	"Ruthven"	1924	"No"	"Neotropic"	"Terrestrial"	NA	NA	NA	NA	NA	NA	"No"	"No"	NA	NA	NA	NA	NA	NA	NA	"non-fanged"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	NA	NA	NA
"Alopoglossus angulatus"	"Squamata"	"Sauria"	"Alopoglossidae"	"Alopoglossus"	"Linnaeus"	1758	"No"	"Neotropic"	"Terrestrial"	"Forest/Wetlands"	0	760	NA	NA	12.47	"No"	"No"	"Carnivorous"	"Arthropods"	"Diurnal"	NA	NA	"ACT"	NA	"non-fanged"	NA	6.2	NA	64	56.3	NA	21.3	NA	"oviparous"	NA	2	1	2	NA	NA	NA	26.2	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Alopoglossus atriventris"	"Squamata"	"Sauria"	"Alopoglossidae"	"Alopoglossus"	"Duellman"	1973	"No"	"Neotropic"	"Terrestrial"	"Forest"	0	1500	NA	NA	11.09	"No"	"No"	"Carnivorous"	"Arthropods"	"Diurnal"	NA	NA	"ACT"	NA	"non-fanged"	NA	3.7	NA	55	48	NA	22	NA	"oviparous"	NA	2	2	2	NA	NA	NA	26.2	NA	NA	"Yes"	"Least Concern"	"Stable"	NA
"Alopoglossus avilapiresae"	"Squamata"	"Sauria"	"Alopoglossidae"	"Alopoglossus"	"Ribeiro-Júnior, Choueri, Lobos, Venegas, Torres-Carvajal & Werneck"	2020	"No"	"Neotropic"	"Terrestrial"	NA	NA	NA	NA	NA	NA	"No"	"No"	NA	NA	NA	NA	NA	NA	NA	"non-fanged"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	NA	NA	NA
"Alopoglossus brevifrontalis"	"Squamata"	"Sauria"	"Alopoglossidae"	"Alopoglossus"	"Boulenger"	1912	"No"	"Neotropic"	"Terrestrial"	NA	200	1260	NA	NA	14.09	"No"	"No"	"Carnivorous"	"Arthropods"	"Diurnal"	NA	NA	"ACT"	NA	"non-fanged"	NA	7.4	NA	68	58.5	NA	29	NA	"oviparous"	NA	2	2	2	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Alopoglossus buckleyi"	"Squamata"	"Sauria"	"Alopoglossidae"	"Alopoglossus"	"O’shaughnessy"	1881	"No"	"Neotropic"	"Terrestrial"	"Forest"	210	1830	NA	NA	13.05	"No"	"No"	NA	NA	"Diurnal"	NA	NA	NA	NA	"non-fanged"	NA	5.6	NA	62.3	56	NA	NA	NA	"oviparous"	NA	2	2	2	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Alopoglossus collii"	"Squamata"	"Sauria"	"Alopoglossidae"	"Alopoglossus"	"Ribeiro-Júnior, Choueri, Lobos, Venegas, Torres-Carvajal & Werneck"	2020	"No"	"Neotropic"	"Terrestrial"	NA	NA	NA	NA	NA	NA	"No"	"No"	NA	NA	NA	NA	NA	NA	NA	"non-fanged"	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	NA	NA	NA
"Alopoglossus meloi"	"Squamata"	"Sauria"	"Alopoglossidae"	"Alopoglossus"	"Ribeiro-Júnior"	2018	"No"	"Neotropic"	"Terrestrial"	NA	NA	NA	NA	NA	13.15	"No"	"No"	NA	NA	NA	NA	NA	NA	NA	"non-fanged"	NA	4.2	NA	NA	NA	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	NA	NA	NA
"Alopoglossus theodorusi"	"Squamata"	"Sauria"	"Alopoglossidae"	"Alopoglossus"	"Ribeiro-Júnior, Meiri  & Fouqet"	2020	"No"	"Neotropic"	"Terrestrial"	NA	NA	NA	NA	NA	NA	"No"	"No"	NA	NA	NA	NA	NA	NA	NA	"non-fanged"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	NA	NA	NA
"Amapasaurus tetradactylus"	"Squamata"	"Sauria"	"Gymnophthalmidae"	"Amapasaurus"	"Cunha"	1970	"No"	"Neotropic"	"Terrestrial"	"Forest"	410	420	NA	NA	19.83	"No"	"No"	"Carnivorous"	"insects (Avila-Pires etAl. 2010)"	"Diurnal"	NA	NA	NA	NA	"non-fanged"	NA	0.9	NA	36	28.5	NA	NA	NA	"oviparous"	NA	2	2	2	NA	NA	NA	NA	NA	NA	"No"	"Least Concern"	"Stable"	NA
"Ameiva ameiva"	"Squamata"	"Sauria"	"Teiidae"	"Ameiva"	"Linnaeus"	1758	"No"	"Neotropic"	"Terrestrial"	"Forest/Savanna/Shrubland"	0	1180	23.62	1165.2	17.14	"No"	"No"	"Carnivorous"	"Invertebrates, lizardsAnd some vegetable matter (Avila-Pires 1995), vertebratesAndArthropods (VittAnd de Carvalho 1995),About 1% plants, 2.5 percent mollusksAnd earthworms, 7.5% vertebratesAnd the restArthropods (PiankaAnd Vitt 2003, p43), 3.5% plants (Mesquita etAl. 2006b), omnivorous (Janzen 1973, Quinn etAl. 2010), seeAlso Sales etAl. 2011, PowellAnd Henderson 2017 (asAmeivaAquilina); insects,AlmostAll isoptera (Travassos etAl. 2015, seeAlso deAmorim etAl. 2017)"	"Diurnal"	NA	NA	"ACT"	NA	"non-fanged"	4.7	302	NA	210	118.9	NA	39.1	NA	"oviparous"	NA	5.3	1	11	2.5	NA	NA	37.8	NA	NA	"Yes"	"Least Concern"	"Stable"	NA
"Ameiva jacuba"	"Squamata"	"Sauria"	"Teiidae"	"Ameiva"	"Giugliano, Nogueira, Valdujo, Collevatti & Colli"	2013	"No"	"Neotropic"	"Terrestrial"	NA	800	850	NA	NA	12.98	"No"	"No"	NA	NA	NA	NA	NA	NA	NA	"non-fanged"	NA	35.5	NA	106	102	NA	NA	NA	"oviparous"	NA	3	3	3	NA	NA	NA	NA	NA	NA	"Yes"	NA	NA	NA
"Ameiva parecis"	"Squamata"	"Sauria"	"Teiidae"	"Ameiva"	"Colli, Costa, Garda, Kopp, Mesquita, Péres, Valdujo, Vieira & Wiederhecker"	2003	"No"	"Neotropic"	"Terrestrial"	"Grassland"	470	580	NA	NA	11.75	"No"	"No"	"Carnivorous"	"Arthropods (3% plan material, MesquitaAnd Colli 2003)"	"Diurnal"	NA	NA	"ACT"	NA	"non-fanged"	NA	21.4	NA	90	79.3	NA	36	NA	"oviparous"	NA	1.6	1	2	NA	NA	NA	38.2	NA	NA	"Yes"	"Vulnerable"	"Unknown"	NA
"Ameivula cipoensis"	"Squamata"	"Sauria"	"Teiidae"	"Ameivula"	"Arias, Carvalho, Zaher & Rodrigues"	2014	"No"	"Neotropic"	"Terrestrial"	NA	900	1200	NA	NA	22.85	"No"	"No"	"Carnivorous"	"MouraAnd Cruz 2017 report itActively foraging, don't say what on"	"Diurnal"	NA	NA	"ACT"	NA	"non-fanged"	NA	10.5	NA	71.3	63.2	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	NA	NA	NA
"Ameivula confusioniba"	"Squamata"	"Sauria"	"Teiidae"	"Ameivula"	"Arias, De Carvalho, Rodrigues & Zaher"	2011	"No"	"Neotropic"	"Terrestrial"	"Grassland/Savanna"	NA	NA	NA	NA	28.08	"No"	"No"	NA	NA	"Diurnal"	NA	NA	NA	NA	"non-fanged"	NA	12.9	NA	76.5	67.6	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	"Least Concern"	"Unknown"	NA
"Ameivula jalapensis"	"Squamata"	"Sauria"	"Teiidae"	"Ameivula"	"Colli, Giugliano, Mesquita & Franca"	2009	"No"	"Neotropic"	"Terrestrial"	"Savanna/Shrubland"	NA	NA	NA	NA	19.12	"No"	"No"	"Carnivorous"	"Arthropods"	"Diurnal"	NA	NA	"ACT"	NA	"non-fanged"	NA	5.5	NA	58	51.3	NA	NA	NA	"oviparous"	NA	1	1	1	NA	NA	NA	37	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Ameivula mumbuca"	"Squamata"	"Sauria"	"Teiidae"	"Ameivula"	"Colli, Caldwell, Costa,  Gainsbury, Garda, Mesquita,  Filho, Soares, Silva, Valdujo, Vieira, Vitt, Werneck, Wiederhecker & Zatz"	2003	"No"	"Neotropic"	"Terrestrial"	"Savanna"	NA	NA	NA	NA	18.6	"No"	"No"	"Carnivorous"	"Arthropods"	"Diurnal"	NA	NA	"ACT"	NA	"non-fanged"	NA	5.8	NA	59	53.2	NA	NA	NA	"oviparous"	NA	1	1	1	NA	NA	NA	38.3	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Ameivula nativo"	"Squamata"	"Sauria"	"Teiidae"	"Ameivula"	"Rocha, Bergallo & Peccinini-Seale"	1997	"No"	"Neotropic"	"Terrestrial"	"Shrubland"	NA	NA	23.96	1467.7	21.34	"No"	"No"	"Carnivorous"	"Carnivorous"	NA	NA	NA	"ACT"	NA	"non-fanged"	NA	9.5	NA	69.5	56.1	NA	30	NA	"oviparous"	NA	2.2	1	4	NA	NA	NA	38.4	NA	NA	"No"	"Endangered"	"Unknown"	NA
"Ameivula nigrigula"	"Squamata"	"Sauria"	"Teiidae"	"Ameivula"	"Arias, De Carvalho, Rodrigues & Zaher"	2011	"No"	"Neotropic"	"Terrestrial"	"Grassland"	500	1030	NA	NA	35.78	"No"	"No"	"Carnivorous"	"carnivorous (inferred fromArias etAl. 2011)"	"Diurnal"	NA	NA	"ACT"	NA	"non-fanged"	NA	21.4	NA	90.1	62.9	NA	NA	NA	"oviparous"	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	"Data Deficient"	"Unknown"	NA
"Ameivula ocellifera"	"Squamata"	"Sauria"	"Teiidae"	"Ameivula"	"Spix"	1825	"No"	"Neotropic"	"Saxicolous/Terrestrial"	"Savanna"	190	460	23.35	1631.7	18.76	"No"	"No"	"Carnivorous"	"Arthropods (e.g., Sales etAl. 2012, SalesAnd Freire 2015, Travassos etAl. 2015, Ferreira etAl. 2017)"	"Diurnal"	NA	NA	"ACT"	NA	"non-fanged"	NA	52.5	NA	120	62.5	NA	27.5	NA	"oviparous"	NA	2.5	1	5	NA	NA	NA	37.3	NA	NA	"Yes"	"Least Concern"	"Stable"	NA
"Ameivula pyrrhogularis"	"Squamata"	"Sauria"	"Teiidae"	"Ameivula"	"Basto Da Silva & Ávila-Pires"	2013	"No"	"Neotropic"	"Terrestrial"	"Savanna"	740	750	NA	NA	38.92	"No"	"No"	"Carnivorous"	"Da SilvaAndAvila-Pires 2013 says it forages, not say for what"	"Diurnal"	NA	NA	"ACT"	NA	"non-fanged"	NA	20.9	NA	89	NA	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Ameivula xacriaba"	"Squamata"	"Sauria"	"Teiidae"	"Ameivula"	"Arias, Texeira Jr., Recoder, Carvalho, Zaher & Rodrigues"	2014	"No"	"Neotropic"	"Terrestrial"	NA	NA	NA	NA	NA	25.79	"No"	"No"	NA	NA	NA	NA	NA	NA	NA	"non-fanged"	NA	10	NA	70.2	NA	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	NA	NA	NA
"Amerotyphlops amoipira"	"Squamata"	"Serpentes"	"Typhlopidae"	"Amerotyphlops"	"Rodrigues & Juncá"	2002	"No"	"Neotropic"	"Fossorial"	"Forest"	NA	NA	NA	NA	NA	"No"	"No"	"Carnivorous"	"Invertebrates "	"Nocturnal"	"Brown"	"Blotched"	"ACT"	NA	"non-fanged"	NA	13.2	297	NA	NA	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Amerotyphlops arenensis"	"Squamata"	"Serpentes"	"Typhlopidae"	"Amerotyphlops"	"Graboski, Pereira-Filho,  Silva, Costa Prudente & Zaher"	2015	"No"	"Neotropic"	"Fossorial"	"Desert/Rocky"	NA	NA	NA	NA	NA	"No"	"No"	"Carnivorous"	"Invertebrates "	"Nocturnal"	"Brown"	"Uniform"	"AMB"	NA	"non-fanged"	NA	5.4	233	NA	NA	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	NA	NA	NA
"Amerotyphlops brongersmianus"	"Squamata"	"Serpentes"	"Typhlopidae"	"Amerotyphlops"	"Vanzolini"	1976	"No"	"Neotropic"	"Fossorial"	"Forest/Savanna"	0	1300	NA	NA	NA	"No"	"No"	"Carnivorous"	"Invertebrates "	"Nocturnal"	"Brown"	"Blotched/uniform"	"ACT"	NA	NA	NA	18.4	325	NA	NA	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Stable"	NA
"Amerotyphlops minuisquamus"	"Squamata"	"Serpentes"	"Typhlopidae"	"Amerotyphlops"	"Dixon & Hendricks"	1979	"No"	"Neotropic"	"Fossorial"	"Forest"	0	250	NA	NA	NA	"No"	"No"	"Carnivorous"	"Invertebrates, reptiles  "	"Nocturnal"	"Black/Brown"	NA	"ACT"	NA	"non-fanged"	NA	27.1	361	NA	NA	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Amerotyphlops paucisquamus"	"Squamata"	"Serpentes"	"Typhlopidae"	"Amerotyphlops"	"Dixon & Hendricks"	1979	"No"	"Neotropic"	"Fossorial"	"Forest"	NA	NA	NA	NA	NA	"No"	"No"	NA	NA	NA	"Brown"	"Uniform"	NA	NA	"non-fanged"	NA	1.3	158	NA	NA	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Decreasing"	NA
"Amerotyphlops reticulatus"	"Squamata"	"Serpentes"	"Typhlopidae"	"Amerotyphlops"	"Linnaeus"	1758	"No"	"Neotropic"	"Fossorial"	"Forest/Grassland/Savanna/Shrubland"	0	750	NA	NA	NA	"No"	"No"	"Carnivorous"	"Invertebrates "	NA	"Brown"	NA	"ACT"	NA	"non-fanged"	NA	105.8	522	NA	NA	NA	NA	NA	"oviparous"	NA	10	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Stable"	NA
"Amerotyphlops yonenagae"	"Squamata"	"Serpentes"	"Typhlopidae"	"Amerotyphlops"	"Rodrigues"	1991	"No"	"Neotropic"	"Fossorial"	"Forest"	NA	NA	NA	NA	NA	"No"	"No"	"Carnivorous"	"Invertebrates "	NA	"Brown"	"Uniform"	NA	NA	"non-fanged"	NA	0.2	101	NA	NA	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Amnesteophis melanauchen"	"Squamata"	"Serpentes"	"Colubridae"	"Amnesteophis"	"Jan"	1863	"No"	"Neotropic"	NA	NA	NA	NA	NA	NA	NA	"No"	NA	"Carnivorous"	"Amphibians, mammals, reptiles"	NA	"Black"	"Uniform"	"ACT"	NA	"rear-fanged"	NA	14	375	NA	NA	NA	NA	NA	"viviparous"	NA	NA	NA	NA	NA	"No"	"No"	NA	NA	NA	"No"	"Data Deficient"	"Unknown"	NA
"Amnisiophis amoenus"	"Squamata"	"Serpentes"	"Colubridae"	"Amnisiophis"	"Jan"	1863	"No"	"Neotropic"	"Terrestrial"	NA	NA	NA	NA	NA	0.2	"No"	NA	NA	NA	NA	NA	NA	NA	NA	"rear-fanged"	NA	44.2	NA	663	NA	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	"Least Concern"	"Unknown"	NA
"Amphisbaena absaberi"	"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Strüssman & Carvalho"	2001	"No"	"Neotropic"	"Fossorial"	"Savanna"	NA	NA	NA	NA	NA	"No"	"No"	"Carnivorous"	"insects (StrussmannAnd Carvalho 2001)"	NA	NA	NA	NA	NA	"non-fanged"	NA	8	NA	242	240.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	"Data Deficient"	"Unknown"	NA
"Amphisbaena acangaoba"	"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Ribeiro, Gomides & Costa"	2020	"No"	"Neotropic"	"Fossorial"	NA	NA	NA	NA	NA	NA	"No"	"No"	NA	NA	NA	NA	NA	NA	NA	"non-fanged"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	NA	NA	NA
"Amphisbaena acrobeles"	"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Ribeiro, Castro-Mello & Nogueira"	2009	"No"	"Neotropic"	"Fossorial"	"Savanna"	NA	NA	NA	NA	NA	"No"	"No"	NA	NA	NA	NA	NA	NA	NA	"non-fanged"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	NA	NA	NA	NA	NA	NA	NA	NA	"No"	"Least Concern"	"Unknown"	NA
"Amphisbaena alba"	"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Linnaeus"	1758	"No"	"Neotropic"	"Fossorial/Terrestrial"	"Forest/Grassland/Savanna/Shrubland"	0	500	23.17	1696.8	17.37	"No"	"No"	"Carnivorous"	"insects, eggsAnd mice (Murphy 1997) /Arthropods (Kearney 2003, Starace 1998, ColliAnd Zamboni 1999), small snakes (Starace 1998, Gomes etAl. 2009, Starace 2013), lizardsAnd perhaps mammals (Gomes etAl. 2009),AlsoAnnelids (O'Shea 1998)"	"Cathemeral"	NA	NA	NA	NA	"non-fanged"	15.2	1023.3	NA	810	534.3	NA	160	NA	"oviparous"	NA	9.3	6	16	1	NA	NA	25	NA	NA	"Yes"	"Least Concern"	"Stable"	NA
"Amphisbaena anaemariae"	"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Vanzolini"	1997	"No"	"Neotropic"	"Fossorial"	"Savanna"	273	455	NA	NA	17.27	"No"	"No"	NA	NA	NA	NA	NA	NA	NA	"non-fanged"	NA	2.4	NA	179	NA	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Amphisbaena anomala"	"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Barbour"	1914	"No"	"Neotropic"	"Fossorial"	"Forest"	223	443	NA	NA	38.92	"No"	"No"	NA	NA	"Diurnal"	NA	NA	NA	NA	"non-fanged"	NA	12.9	NA	273	NA	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Amphisbaena arda"	"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Rodrigues"	2003	"No"	"Neotropic"	"Fossorial"	"Forest"	NA	NA	NA	NA	NA	"No"	"No"	NA	NA	NA	NA	NA	NA	NA	"non-fanged"	NA	15.5	NA	285	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	"Endangered"	"Unknown"	NA
"Amphisbaena arenaria"	"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Vanzolini"	1991	"No"	"Neotropic"	"Fossorial"	"Shrubland"	NA	NA	NA	NA	NA	"No"	"No"	NA	NA	NA	NA	NA	NA	NA	"non-fanged"	NA	3.4	NA	245	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	"Data Deficient"	"Unknown"	NA
"Amphisbaena arenicola"	"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Perez & Borges-Martins"	2019	"No"	"Neotropic"	"Fossorial"	NA	NA	NA	NA	NA	NA	"No"	"No"	NA	NA	NA	NA	NA	NA	NA	"non-fanged"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	NA	NA	NA
"Amphisbaena bahiana"	"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Vanzolini"	1964	"No"	"Neotropic"	"Fossorial"	"Forest"	NA	NA	NA	NA	NA	"No"	"No"	NA	NA	NA	NA	NA	NA	NA	"non-fanged"	NA	5	NA	215	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	"Endangered"	"Unknown"	NA
"Amphisbaena bedai"	"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Vanzolini"	1991	"No"	"Neotropic"	"Fossorial"	"Savanna"	NA	NA	NA	NA	NA	"No"	"No"	NA	NA	NA	NA	NA	NA	NA	"non-fanged"	NA	16.6	NA	290	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	"Least Concern"	"Unknown"	NA
"Amphisbaena bilabialata"	"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Stimson"	1972	"No"	"Neotropic"	"Fossorial"	"Forest"	NA	NA	NA	NA	NA	"No"	"No"	NA	NA	NA	NA	NA	NA	NA	"non-fanged"	NA	20.8	NA	307	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	"Least Concern"	"Unknown"	NA
"Amphisbaena brasiliana"	"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Gray"	1865	"No"	"Neotropic"	"Fossorial"	"Forest"	210	220	NA	NA	12.55	"No"	"No"	NA	NA	NA	NA	NA	NA	NA	"non-fanged"	NA	23.4	NA	317	NA	NA	NA	NA	"oviparous"	NA	9	9	9	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Amphisbaena brevis"	"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Strüssmann & Mott"	2009	"No"	"Neotropic"	"Fossorial"	"Savanna"	NA	NA	NA	NA	NA	"No"	"No"	NA	NA	NA	NA	NA	NA	NA	"non-fanged"	NA	NA	NA	137	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	"Data Deficient"	"Unknown"	NA
"Amphisbaena caetitensis"	"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Almeida, Freitas, Silva, Costa-Valverde, Rodrigues, Pires & Mott"	2018	"No"	"Neotropic"	"Fossorial"	NA	NA	NA	NA	NA	NA	"No"	"No"	NA	NA	NA	NA	NA	NA	NA	"non-fanged"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	NA	NA	NA
"Amphisbaena caiari"	"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Teixeira Jr, Da Vechio, Neto & Rodrigues"	2014	"No"	"Neotropic"	"Fossorial"	"Forest/Savanna"	90	150	NA	NA	9.8	"No"	"No"	NA	NA	NA	NA	NA	NA	NA	"non-fanged"	NA	1.4	NA	157	NA	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	"Data Deficient"	"Unknown"	NA
