family,genus,species,activity,limbs,reproduction,habitat,biomes,major_biome_gard,Seasonality.Precipitation..coefficient.of.variation...100.,cerrado_endemic,phylogeny,distribution
Dactyloidae,Anolis,Anolis brasiliensis,Diurnal,4 well developed limbs,oviparous,Forest_Savanna,AM_CA_CE_AF,"Tropical & Subtropical Grasslands, Savannas & Shrublands",16.23,no,yes,yes
Dactyloidae,Anolis,Anolis chrysolepis,Diurnal,4 well developed limbs,oviparous,Forest,AM,Tropical & Subtropical Moist Broadleaf Forests,14.2,no,yes,yes
Dactyloidae,Anolis,Anolis dissimilis,NA,4 well developed limbs,oviparous,Forest,AM,Tropical & Subtropical Moist Broadleaf Forests,11.43,no,yes,yes
Dactyloidae,Anolis,Anolis fuscoauratus,Diurnal,4 well developed limbs,oviparous,Forest,AM_CA_CE_AF,Tropical & Subtropical Moist Broadleaf Forests,15.63,no,yes,yes
Dactyloidae,Anolis,Anolis meridionalis,Diurnal,4 well developed limbs,oviparous,Forest_Savanna,AM_CE_AF_PT,"Tropical & Subtropical Grasslands, Savannas & Shrublands",16.35,yes,yes,yes
Dactyloidae,Anolis,Anolis nasofrontalis,Diurnal,4 well developed limbs,oviparous,Forest,AF,Tropical & Subtropical Moist Broadleaf Forests,23.85,no,yes,yes
Dactyloidae,Anolis,Anolis neglectus,NA,4 well developed limbs,NA,NA,AF,NA,NA,no,no,yes
Dactyloidae,Anolis,Anolis ortonii,Diurnal,4 well developed limbs,oviparous,Forest,AM_CE_AF,Tropical & Subtropical Moist Broadleaf Forests,13.11,no,yes,yes
Dactyloidae,Anolis,Anolis phyllorhinus,Diurnal,4 well developed limbs,oviparous,Forest,AM,Tropical & Subtropical Moist Broadleaf Forests,9.95,no,yes,yes
Dactyloidae,Anolis,Anolis planiceps,Diurnal,4 well developed limbs,oviparous,Forest,AM,Tropical & Subtropical Moist Broadleaf Forests,15.48,no,yes,yes
Dactyloidae,Anolis,Anolis pseudotigrinus,Diurnal,4 well developed limbs,oviparous,Forest,AF,Tropical & Subtropical Moist Broadleaf Forests,28.25,no,yes,yes
Dactyloidae,Anolis,Anolis punctatus,Diurnal,4 well developed limbs,oviparous,Forest,AM_CE_AF,Tropical & Subtropical Moist Broadleaf Forests,13.92,no,yes,yes
Dactyloidae,Anolis,Anolis scypheus,Diurnal,4 well developed limbs,oviparous,Forest,AM,Tropical & Subtropical Moist Broadleaf Forests,12.38,no,yes,yes
Dactyloidae,Anolis,Anolis tandai,Diurnal,4 well developed limbs,oviparous,Forest,AM,Tropical & Subtropical Moist Broadleaf Forests,10.53,no,yes,yes
Dactyloidae,Anolis,Anolis trachyderma,Diurnal,4 well developed limbs,oviparous,Forest,AM,Tropical & Subtropical Moist Broadleaf Forests,11.63,no,yes,yes
Dactyloidae,Anolis,Anolis transversalis,Diurnal,4 well developed limbs,oviparous,Forest,AM,Tropical & Subtropical Moist Broadleaf Forests,11.16,no,yes,yes
Gymnophthalmidae,Anotosaura,Anotosaura collaris,Diurnal,4 well developed limbs,oviparous,Forest,CA,Deserts & Xeric Shrublands,33.9,no,yes,yes
Gymnophthalmidae,Anotosaura,Anotosaura vanzolinia,Diurnal,4 well developed limbs,oviparous,Savanna,CA_AF,Deserts & Xeric Shrublands,45.32,no,yes,yes
Dipsadidae,Apostolepis,Apostolepis adhara,Diurnal,limbless,NA,Grassland_Savanna_Shrubland,CE,"Tropical & Subtropical Grasslands, Savannas & Shrublands",NA,yes,no,yes
Dipsadidae,Apostolepis,Apostolepis albicollaris,NA,limbless,oviparous,Forest,CE,"Tropical & Subtropical Grasslands, Savannas & Shrublands",NA,yes,yes,yes
Dipsadidae,Apostolepis,Apostolepis ambiniger,NA,limbless,oviparous,Forest_Savanna,CE_PT,"Tropical & Subtropical Grasslands, Savannas & Shrublands",0.2,no,no,yes
Dipsadidae,Apostolepis,Apostolepis arenaria,NA,limbless,oviparous,Shrubland,CA,Tropical & Subtropical Moist Broadleaf Forests,0.4,no,no,yes
Dipsadidae,Apostolepis,Apostolepis assimilis,NA,limbless,oviparous,Forest_Savanna,CA_CE_AF_PT,"Tropical & Subtropical Grasslands, Savannas & Shrublands",0.2,yes,yes,yes
Dipsadidae,Apostolepis,Apostolepis borellii,NA,limbless,NA,Forest,PT,Flooded Grassleands & Savannas,NA,no,no,yes
Dipsadidae,Apostolepis,Apostolepis cearensis,NA,limbless,oviparous,Forest_Shrubland,CA_CE_AF,Deserts & Xeric Shrublands,0.4,no,yes,yes
Dipsadidae,Apostolepis,Apostolepis christineae,NA,limbless,oviparous,Savanna,AM_CE,Tropical & Subtropical Dry Broadleaf Forests,0.3,yes,no,yes
Dipsadidae,Apostolepis,Apostolepis dimidiata,Diurnal,limbless,oviparous,Savanna,CE_AF_PT,Tropical & Subtropical Moist Broadleaf Forests,0.2,no,yes,yes
Dipsadidae,Apostolepis,Apostolepis flavotorquata,Nocturnal,limbless,oviparous,Forest_Savanna,AM_CA_CE_AF,"Tropical & Subtropical Grasslands, Savannas & Shrublands",0.2,yes,yes,yes
Dipsadidae,Apostolepis,Apostolepis gaboi,NA,limbless,oviparous,Shrubland,CA_CE,Tropical & Subtropical Dry Broadleaf Forests,0.3,no,no,yes
Dipsadidae,Apostolepis,Apostolepis goiasensis,Nocturnal,limbless,oviparous,Forest_Savanna_Shrubland,AM_CE_AF,"Tropical & Subtropical Grasslands, Savannas & Shrublands",0.2,yes,no,yes
Dipsadidae,Apostolepis,Apostolepis intermedia,Nocturnal,limbless,oviparous,Savanna,AM_CE_PT,"Tropical & Subtropical Grasslands, Savannas & Shrublands",0.2,yes,no,yes
Dipsadidae,Apostolepis,Apostolepis kikoi,NA,limbless,NA,Savanna,CE,"Tropical & Subtropical Grasslands, Savannas & Shrublands",NA,yes,no,yes
Dipsadidae,Apostolepis,Apostolepis lineata,Diurnal,limbless,oviparous,Forest_Savanna,CE,"Tropical & Subtropical Grasslands, Savannas & Shrublands",NA,yes,no,yes
Dipsadidae,Apostolepis,Apostolepis longicaudata,Diurnal,limbless,oviparous,Savanna,AM_CE_AF,"Tropical & Subtropical Grasslands, Savannas & Shrublands",0.2,yes,no,yes
Dipsadidae,Apostolepis,Apostolepis nelsonjorgei,Diurnal,limbless,oviparous,Savanna,AM_CE,"Tropical & Subtropical Grasslands, Savannas & Shrublands",0.2,yes,no,yes
Dipsadidae,Apostolepis,Apostolepis nigrolineata,Diurnal,limbless,oviparous,Grassland_Savanna,AM,Tropical & Subtropical Moist Broadleaf Forests,0.3,no,yes,yes
Dipsadidae,Apostolepis,Apostolepis nigroterminata,Diurnal,limbless,oviparous,Forest,AM_CE_PT,Tropical & Subtropical Moist Broadleaf Forests,0.2,no,no,yes
Dipsadidae,Apostolepis,Apostolepis phillipsae,Diurnal,limbless,oviparous,Forest,AM,"Tropical & Subtropical Grasslands, Savannas & Shrublands",0.3,yes,yes,yes
Dipsadidae,Apostolepis,Apostolepis polylepis,Diurnal,limbless,oviparous,Savanna,CE,"Tropical & Subtropical Grasslands, Savannas & Shrublands",0.2,yes,yes,yes
Dipsadidae,Apostolepis,Apostolepis quinquelineata,NA,NA,NA,NA,AM,NA,NA,no,no,yes
Dipsadidae,Apostolepis,Apostolepis quirogai,NA,limbless,oviparous,Forest_Savanna,AF,Tropical & Subtropical Moist Broadleaf Forests,0.2,no,no,yes
Dipsadidae,Apostolepis,Apostolepis sanctaeritae,NA,limbless,oviparous,Forest_Shrubland,CE_AF,"Tropical & Subtropical Grasslands, Savannas & Shrublands",0.2,yes,yes,yes
Dipsadidae,Apostolepis,Apostolepis serrana,NA,limbless,oviparous,Savanna,CE,"Tropical & Subtropical Grasslands, Savannas & Shrublands",0.2,yes,no,yes
Dipsadidae,Apostolepis,Apostolepis striata,Nocturnal,limbless,oviparous,Savanna,AM,"Tropical & Subtropical Grasslands, Savannas & Shrublands",0.2,yes,no,yes
Dipsadidae,Apostolepis,Apostolepis thalesdelemai,NA,limbless,NA,Forest,CA,Tropical & Subtropical Moist Broadleaf Forests,NA,no,no,yes
Dipsadidae,Apostolepis,Apostolepis vittata,Nocturnal,limbless,oviparous,Savanna,CE,Tropical & Subtropical Dry Broadleaf Forests,0.3,yes,no,yes
Gymnophthalmidae,Arthrosaura,Arthrosaura kockii,Diurnal,4 well developed limbs,oviparous,Forest,AM,Tropical & Subtropical Moist Broadleaf Forests,17.91,no,yes,yes
Gymnophthalmidae,Arthrosaura,Arthrosaura reticulata,Diurnal,4 well developed limbs,oviparous,Forest,AM_CE,Tropical & Subtropical Moist Broadleaf Forests,12.94,no,yes,yes
Gymnophthalmidae,Arthrosaura,Arthrosaura versteegii,Diurnal,4 well developed limbs,oviparous,Forest_Savanna,AM,Tropical & Subtropical Moist Broadleaf Forests,18.61,no,no,yes
Mabuyidae,Aspronema,Aspronema dorsivittatum,Diurnal,4 well developed limbs,viviparous,Forest_Grassland_Savanna_Shrubland,CE_AF_PP,"Tropical & Subtropical Grasslands, Savannas & Shrublands",20.2,no,yes,yes
Dipsadidae,Atractus,Atractus aboiporu,NA,limbless,NA,NA,AM,Tropical & Subtropical Moist Broadleaf Forests,NA,no,no,yes
Dipsadidae,Atractus,Atractus akerios,NA,limbless,NA,NA,AM,NA,NA,no,no,yes
Dipsadidae,Atractus,Atractus albuquerquei,NA,limbless,oviparous,Forest_Savanna,AM_CE_AF,Tropical & Subtropical Moist Broadleaf Forests,0.3,yes,yes,yes
Dipsadidae,Atractus,Atractus alphonsehogei,NA,limbless,oviparous,Forest,AM,Tropical & Subtropical Moist Broadleaf Forests,0.3,no,no,yes
Dipsadidae,Atractus,Atractus altagratiae,NA,limbless,oviparous,Forest,AM,Tropical & Subtropical Moist Broadleaf Forests,0.2,no,no,yes
Dipsadidae,Atractus,Atractus badius,NA,limbless,oviparous,Forest,AM,Tropical & Subtropical Moist Broadleaf Forests,0.3,no,yes,yes
Dipsadidae,Atractus,Atractus boimirim,NA,limbless,NA,NA,AM,Tropical & Subtropical Moist Broadleaf Forests,NA,no,no,yes
Dipsadidae,Atractus,Atractus caete,NA,limbless,oviparous,Forest,AF,Tropical & Subtropical Moist Broadleaf Forests,0.3,no,no,yes
Dipsadidae,Atractus,Atractus caxiuana,NA,limbless,oviparous,Forest,AM,Tropical & Subtropical Moist Broadleaf Forests,0.3,no,no,yes
Dipsadidae,Atractus,Atractus collaris,NA,limbless,oviparous,Forest,AM,Tropical & Subtropical Moist Broadleaf Forests,0.1,no,no,yes
Dipsadidae,Atractus,Atractus dapsilis,NA,limbless,NA,NA,AM,Tropical & Subtropical Moist Broadleaf Forests,NA,no,no,yes
Dipsadidae,Atractus,Atractus edioi,NA,limbless,oviparous,Savanna,CE,"Tropical & Subtropical Grasslands, Savannas & Shrublands",0.2,yes,no,yes
Dipsadidae,Atractus,Atractus elaps,NA,limbless,oviparous,Forest,AM,Tropical & Subtropical Moist Broadleaf Forests,0.2,no,yes,yes
Dipsadidae,Atractus,Atractus emmeli,NA,limbless,oviparous,Forest,AM,Tropical & Subtropical Moist Broadleaf Forests,0.2,no,no,yes
Dipsadidae,Atractus,Atractus flammigerus,NA,limbless,oviparous,Forest,AM,Tropical & Subtropical Moist Broadleaf Forests,0.2,no,yes,yes
Dipsadidae,Atractus,Atractus francoi,NA,limbless,oviparous,Forest,AF,Tropical & Subtropical Moist Broadleaf Forests,0.2,no,no,yes
Dipsadidae,Atractus,Atractus guentheri,NA,limbless,oviparous,Forest,AF,Tropical & Subtropical Moist Broadleaf Forests,0.1,no,no,yes
Dipsadidae,Atractus,Atractus hoogmoedi,NA,limbless,oviparous,Forest,AM,Tropical & Subtropical Moist Broadleaf Forests,0.7,no,no,yes
Dipsadidae,Atractus,Atractus insipidus,NA,limbless,oviparous,Forest,AM,Tropical & Subtropical Moist Broadleaf Forests,0.2,no,no,yes
Dipsadidae,Atractus,Atractus latifrons,NA,limbless,oviparous,Forest,AM_CE_PT,Tropical & Subtropical Moist Broadleaf Forests,0.2,no,no,yes
Dipsadidae,Atractus,Atractus maculatus,NA,limbless,oviparous,Forest,AF,Deserts & Xeric Shrublands,0.2,no,no,yes
Dipsadidae,Atractus,Atractus major,NA,limbless,oviparous,Forest_Grassland_Shrubland,AM,Tropical & Subtropical Moist Broadleaf Forests,0.2,no,yes,yes
Dipsadidae,Atractus,Atractus natans,NA,limbless,oviparous,Forest_Savanna,AM,Tropical & Subtropical Moist Broadleaf Forests,0.2,no,no,yes
Dipsadidae,Atractus,Atractus nawa,NA,limbless,NA,NA,AM,NA,NA,no,no,yes
Dipsadidae,Atractus,Atractus pantostictus,NA,limbless,oviparous,Forest_Savanna,AM_CE_AF,"Tropical & Subtropical Grasslands, Savannas & Shrublands",0.2,yes,yes,yes
Dipsadidae,Atractus,Atractus paraguayensis,NA,limbless,oviparous,Forest_Savanna,AF_PP,"Tropical & Subtropical Grasslands, Savannas & Shrublands",0.1,no,no,yes
Dipsadidae,Atractus,Atractus poeppigi,NA,limbless,oviparous,Forest,AM,Tropical & Subtropical Moist Broadleaf Forests,0.2,no,no,yes
Dipsadidae,Atractus,Atractus potschi,NA,limbless,oviparous,Forest_Shrubland,CA_AF,Deserts & Xeric Shrublands,0.2,no,no,yes
Dipsadidae,Atractus,Atractus reticulatus,NA,limbless,oviparous,Forest_Grassland_Savanna,CE_AF_PP,Tropical & Subtropical Moist Broadleaf Forests,0.2,no,yes,yes
Dipsadidae,Atractus,Atractus riveroi,NA,limbless,oviparous,Forest,AM,Tropical & Subtropical Moist Broadleaf Forests,0.7,no,no,yes
Dipsadidae,Atractus,Atractus ronnie,NA,limbless,oviparous,Forest,CA,Deserts & Xeric Shrublands,0.9,no,no,yes
Dipsadidae,Atractus,Atractus serranus,NA,limbless,oviparous,Forest,AF,Tropical & Subtropical Moist Broadleaf Forests,0.2,no,no,yes
Dipsadidae,Atractus,Atractus snethlageae,NA,limbless,oviparous,Forest,AM_CE,Tropical & Subtropical Moist Broadleaf Forests,0.3,no,no,yes
Dipsadidae,Atractus,Atractus spinalis,NA,limbless,oviparous,Rocky_Savanna,CE,"Tropical & Subtropical Grasslands, Savannas & Shrublands",0.3,yes,no,yes
Dipsadidae,Atractus,Atractus stygius,NA,limbless,NA,NA,AM_CE,NA,NA,yes,no,yes
Dipsadidae,Atractus,Atractus surucucu,NA,limbless,oviparous,Savanna,AM,Tropical & Subtropical Moist Broadleaf Forests,0.1,no,no,yes
Dipsadidae,Atractus,Atractus tartarus,NA,limbless,NA,NA,AM_CE,Tropical & Subtropical Moist Broadleaf Forests,NA,no,yes,yes
Dipsadidae,Atractus,Atractus thalesdelemai,NA,limbless,oviparous,Grassland,AF,Tropical & Subtropical Moist Broadleaf Forests,0.1,no,no,yes
Dipsadidae,Atractus,Atractus torquatus,NA,limbless,oviparous,Forest_Savanna,AM,Tropical & Subtropical Moist Broadleaf Forests,0.2,no,no,yes
Dipsadidae,Atractus,Atractus trefauti,NA,limbless,NA,NA,AM,Tropical & Subtropical Moist Broadleaf Forests,NA,no,no,yes
Dipsadidae,Atractus,Atractus trihedrurus,NA,limbless,oviparous,Forest,AF,Tropical & Subtropical Moist Broadleaf Forests,0.2,no,yes,yes
Dipsadidae,Atractus,Atractus trilineatus,NA,limbless,oviparous,Forest_Savanna,AM,Tropical & Subtropical Moist Broadleaf Forests,0.3,no,no,yes
Dipsadidae,Atractus,Atractus zebrinus,NA,limbless,oviparous,Forest,CE_AF,Tropical & Subtropical Moist Broadleaf Forests,0.2,no,yes,yes
Dipsadidae,Atractus,Atractus zidoki,NA,limbless,oviparous,Forest,AM,Tropical & Subtropical Moist Broadleaf Forests,0.4,no,yes,yes
Gymnophthalmidae,Bachia,Bachia bresslaui,Diurnal,reduced,oviparous,Savanna,AM_CE_AF_PT,"Tropical & Subtropical Grasslands, Savannas & Shrublands",17.74,yes,yes,yes
Gymnophthalmidae,Bachia,Bachia cacerensis,NA,reduced,oviparous,Savanna,PT,"Tropical & Subtropical Grasslands, Savannas & Shrublands",14.52,yes,no,yes
Gymnophthalmidae,Bachia,Bachia didactyla,NA,reduced,oviparous,Savanna,AM_CE,"Tropical & Subtropical Grasslands, Savannas & Shrublands",12.39,yes,no,yes
Gymnophthalmidae,Bachia,Bachia dorbignyi,NA,reduced,oviparous,Forest_Savanna,AM_CE,Tropical & Subtropical Moist Broadleaf Forests,12.78,no,yes,yes
Gymnophthalmidae,Bachia,Bachia flavescens,Diurnal,reduced,oviparous,Forest,AM,Tropical & Subtropical Moist Broadleaf Forests,14.24,no,yes,yes
Gymnophthalmidae,Bachia,Bachia geralista,Cathemeral,reduced,oviparous,Savanna,CE,"Tropical & Subtropical Grasslands, Savannas & Shrublands",25.89,yes,no,yes
Gymnophthalmidae,Bachia,Bachia micromela,Diurnal,reduced,oviparous,Forest_Savanna,CE,Tropical & Subtropical Moist Broadleaf Forests,15.25,yes,no,yes
Gymnophthalmidae,Bachia,Bachia oxyrhina,NA,limbless,oviparous,Savanna,CE,"Tropical & Subtropical Grasslands, Savannas & Shrublands",18.38,yes,no,yes
Gymnophthalmidae,Bachia,Bachia panoplia,Diurnal,reduced,oviparous,Forest,AM,Tropical & Subtropical Moist Broadleaf Forests,12.29,no,yes,yes
Gymnophthalmidae,Bachia,Bachia peruana,Diurnal,reduced,oviparous,Forest,AM,Tropical & Subtropical Moist Broadleaf Forests,12.34,no,yes,yes
Gymnophthalmidae,Bachia,Bachia psamophila,Diurnal,reduced,oviparous,Shrubland,CE,Tropical & Subtropical Moist Broadleaf Forests,14.95,yes,no,yes
Gymnophthalmidae,Bachia,Bachia pyburni,Diurnal,reduced,oviparous,Forest,AM,Tropical & Subtropical Moist Broadleaf Forests,10.32,no,no,yes
Gymnophthalmidae,Bachia,Bachia remota,Diurnal,reduced,oviparous,NA,AM,Tropical & Subtropical Moist Broadleaf Forests,19.38,no,no,yes
Gymnophthalmidae,Bachia,Bachia scaea,Diurnal,reduced,oviparous,Forest,AM,Tropical & Subtropical Moist Broadleaf Forests,9.71,no,yes,yes
Gymnophthalmidae,Bachia,Bachia scolecoides,NA,reduced,oviparous,Savanna,AM_CE,Tropical & Subtropical Moist Broadleaf Forests,12.76,no,yes,yes
Gymnophthalmidae,Bachia,Bachia trisanale,Diurnal,limbless,oviparous,Forest,AM,Tropical & Subtropical Moist Broadleaf Forests,11.37,no,yes,yes
Boidae,Boa,Boa constrictor,Nocturnal,limbless,viviparous,Forest_Savanna,AM_CA_CE_AF_PT,Tropical & Subtropical Moist Broadleaf Forests,0.4,no,yes,yes
Dipsadidae,Boiruna,Boiruna maculata,NA,limbless,oviparous,Desert_Forest_Savanna_Shrubland,AM_CE_AF_PP_PT,"Tropical & Subtropical Grasslands, Savannas & Shrublands",0.2,no,yes,yes
Dipsadidae,Boiruna,Boiruna sertaneja,NA,limbless,oviparous,Savanna_Shrubland,CA_CE_AF,Deserts & Xeric Shrublands,0.4,no,yes,yes
Viperidae,Bothrocophias,Bothrocophias hyoprora,NA,limbless,viviparous,Forest,AM,Tropical & Subtropical Moist Broadleaf Forests,0.2,no,yes,yes
Viperidae,Bothrocophias,Bothrocophias microphthalmus,NA,limbless,viviparous,Forest,AM,Tropical & Subtropical Moist Broadleaf Forests,0.2,no,yes,yes
Viperidae,Bothrops,Bothrops alcatraz,Nocturnal,limbless,viviparous,Forest,AF,NA,NA,no,yes,yes
Viperidae,Bothrops,Bothrops alternatus,Cathemeral,limbless,viviparous,Forest_Savanna_Wetlands,CE_AF_PP_PT,"Tropical & Subtropical Grasslands, Savannas & Shrublands",0.2,no,yes,yes
Viperidae,Bothrops,Bothrops atrox,Nocturnal,limbless,viviparous,Forest_Wetlands,AM_CE,Tropical & Subtropical Moist Broadleaf Forests,0.3,no,yes,yes
Viperidae,Bothrops,Bothrops bilineatus,NA,limbless,viviparous,Forest_Wetlands,AM_AF,Tropical & Subtropical Moist Broadleaf Forests,0.3,no,yes,yes
Viperidae,Bothrops,Bothrops brazili,NA,limbless,viviparous,Forest,AM,Tropical & Subtropical Moist Broadleaf Forests,0.3,no,yes,yes
Viperidae,Bothrops,Bothrops cotiara,NA,limbless,viviparous,Forest_Savanna,CE_AF,Tropical & Subtropical Moist Broadleaf Forests,0.1,no,yes,yes
Viperidae,Bothrops,Bothrops diporus,NA,limbless,viviparous,Forest_Grassland_Savanna,AF_PP,"Tropical & Subtropical Grasslands, Savannas & Shrublands",0.2,no,yes,yes
Viperidae,Bothrops,Bothrops erythromelas,NA,limbless,viviparous,Forest_Grassland_Rocky,CA_CE_AF,Deserts & Xeric Shrublands,0.4,no,yes,yes
Viperidae,Bothrops,Bothrops fonsecai,NA,limbless,viviparous,Forest,AF,Tropical & Subtropical Moist Broadleaf Forests,0.2,no,yes,yes
Viperidae,Bothrops,Bothrops germanoi,NA,limbless,NA,NA,AF,NA,NA,no,no,yes
Viperidae,Bothrops,Bothrops insularis,NA,limbless,viviparous,Forest_Grassland,AF,NA,NA,no,yes,yes
Viperidae,Bothrops,Bothrops itapetiningae,NA,limbless,viviparous,Grassland,CE_AF,"Tropical & Subtropical Grasslands, Savannas & Shrublands",0.2,yes,yes,yes
Viperidae,Bothrops,Bothrops jabrensis,NA,limbless,NA,NA,CA,NA,NA,no,no,yes
Viperidae,Bothrops,Bothrops jararaca,Nocturnal,limbless,viviparous,Forest_Savanna,CA_CE_AF_PP,Tropical & Subtropical Moist Broadleaf Forests,0.2,no,yes,yes
Viperidae,Bothrops,Bothrops jararacussu,NA,limbless,viviparous,Forest,CE_AF,Tropical & Subtropical Moist Broadleaf Forests,0.2,no,yes,yes
Viperidae,Bothrops,Bothrops leucurus,NA,limbless,viviparous,Forest_Shrubland,CA_AF,Tropical & Subtropical Moist Broadleaf Forests,0.2,no,yes,yes
Viperidae,Bothrops,Bothrops lutzi,NA,limbless,viviparous,Grassland_Shrubland,CA_CE_AF,"Tropical & Subtropical Grasslands, Savannas & Shrublands",0.3,no,yes,yes
Viperidae,Bothrops,Bothrops marajoensis,NA,limbless,viviparous,Forest_Grassland,AM,Tropical & Subtropical Moist Broadleaf Forests,0.8,no,yes,yes
Viperidae,Bothrops,Bothrops marmoratus,NA,limbless,viviparous,Savanna,CE_AF,"Tropical & Subtropical Grasslands, Savannas & Shrublands",0.2,yes,yes,yes
Viperidae,Bothrops,Bothrops mattogrossensis,NA,limbless,viviparous,Forest_Savanna,AM_CE_AF_PT,"Tropical & Subtropical Grasslands, Savannas & Shrublands",0.2,no,yes,yes
Viperidae,Bothrops,Bothrops moojeni,NA,limbless,viviparous,Savanna,AM_CE_AF_PT,"Tropical & Subtropical Grasslands, Savannas & Shrublands",0.3,yes,yes,yes
Viperidae,Bothrops,Bothrops muriciensis,NA,limbless,viviparous,Forest,AF,Tropical & Subtropical Moist Broadleaf Forests,0.3,no,no,yes
Viperidae,Bothrops,Bothrops neuwiedi,Cathemeral,limbless,viviparous,Forest_Grassland_Savanna_Shrubland,CA_CE_AF,Tropical & Subtropical Moist Broadleaf Forests,0.2,no,yes,yes
Viperidae,Bothrops,Bothrops oligobalius,NA,limbless,NA,NA,AM,NA,NA,no,no,yes
Viperidae,Bothrops,Bothrops otavioi,Nocturnal,limbless,viviparous,Forest,AF,NA,NA,no,no,yes
Viperidae,Bothrops,Bothrops pauloensis,NA,limbless,viviparous,Savanna,CE_AF_PT,"Tropical & Subtropical Grasslands, Savannas & Shrublands",0.2,yes,yes,yes
Viperidae,Bothrops,Bothrops pirajai,NA,limbless,viviparous,Forest,AF,Tropical & Subtropical Moist Broadleaf Forests,0.2,no,no,yes
Viperidae,Bothrops,Bothrops pubescens,NA,limbless,viviparous,Forest,AF_PP,"Tropical & Subtropical Grasslands, Savannas & Shrublands",0.1,no,yes,yes
Viperidae,Bothrops,Bothrops sazimai,NA,limbless,NA,NA,AF,Tropical & Subtropical Moist Broadleaf Forests,NA,no,no,yes
Viperidae,Bothrops,Bothrops taeniatus,NA,limbless,viviparous,Forest,AM,Tropical & Subtropical Moist Broadleaf Forests,0.3,no,yes,yes
Mabuyidae,Brasiliscincus,Brasiliscincus agilis,Diurnal,4 well developed limbs,viviparous,Forest,AF,Tropical & Subtropical Moist Broadleaf Forests,25.15,no,yes,yes
Mabuyidae,Brasiliscincus,Brasiliscincus caissara,NA,4 well developed limbs,viviparous,Shrubland,AF,Tropical & Subtropical Moist Broadleaf Forests,14.15,no,yes,yes
Mabuyidae,Brasiliscincus,Brasiliscincus heathi,Diurnal,4 well developed limbs,viviparous,Savanna,CA_CE_AF,Deserts & Xeric Shrublands,30.16,no,yes,yes
Dipsadidae,Caaeteboia,Caaeteboia amarali,Diurnal,limbless,oviparous,Forest,AF,Tropical & Subtropical Moist Broadleaf Forests,0.3,no,yes,yes
Dipsadidae,Caaeteboia,Caaeteboia gaeli,NA,limbless,NA,NA,CA_AF,NA,NA,no,no,yes
Dipsadidae,Calamodontophis,Calamodontophis paucidens,NA,limbless,viviparous,Grassland,PP,"Tropical & Subtropical Grasslands, Savannas & Shrublands",0.1,no,yes,yes
Dipsadidae,Calamodontophis,Calamodontophis ronaldoi,NA,limbless,viviparous,Forest,AF,Tropical & Subtropical Moist Broadleaf Forests,0.1,no,no,yes
Gymnophthalmidae,Calyptommatus,Calyptommatus confusionibus,Nocturnal,limbless,oviparous,Shrubland,CA_CE,Deserts & Xeric Shrublands,27.24,no,yes,yes
Gymnophthalmidae,Calyptommatus,Calyptommatus leiolepis,Nocturnal,hindlimbs only,oviparous,Forest,CA_CE,Deserts & Xeric Shrublands,39.37,no,yes,yes
Gymnophthalmidae,Calyptommatus,Calyptommatus nicterus,Nocturnal,hindlimbs only,oviparous,Savanna,CA,Deserts & Xeric Shrublands,38.53,no,yes,yes
Gymnophthalmidae,Calyptommatus,Calyptommatus sinebrachiatus,Nocturnal,hindlimbs only,oviparous,Savanna,CA,Deserts & Xeric Shrublands,41.59,no,yes,yes
Gymnophthalmidae,Caparaonia,Caparaonia itaiquara,Diurnal,4 well developed limbs,oviparous,Forest,AF,"Tropical & Subtropical Grasslands, Savannas & Shrublands",20.99,no,yes,yes
Dipsadidae,Cercophis,Cercophis auratus,NA,limbless,oviparous,Forest,AM_AF,Tropical & Subtropical Moist Broadleaf Forests,NA,no,no,no
Gymnophthalmidae,Cercosaura,Cercosaura anordosquama,NA,4 well developed limbs,NA,NA,AM,Tropical & Subtropical Moist Broadleaf Forests,12.98,no,no,yes
Gymnophthalmidae,Cercosaura,Cercosaura argulus,Cathemeral,4 well developed limbs,oviparous,Forest,AM,Tropical & Subtropical Moist Broadleaf Forests,12.8,no,yes,yes
Gymnophthalmidae,Cercosaura,Cercosaura bassleri,Cathemeral,4 well developed limbs,oviparous,NA,AM,Tropical & Subtropical Moist Broadleaf Forests,10.74,no,yes,yes
Gymnophthalmidae,Cercosaura,Cercosaura eigenmanni,Diurnal,4 well developed limbs,oviparous,Forest,AM_CE_PT,Tropical & Subtropical Moist Broadleaf Forests,11.74,no,yes,yes
Gymnophthalmidae,Cercosaura,Cercosaura ocellata,Diurnal,4 well developed limbs,oviparous,Forest,AM,Tropical & Subtropical Moist Broadleaf Forests,16.17,no,yes,yes
Gymnophthalmidae,Cercosaura,Cercosaura olivacea,NA,4 well developed limbs,oviparous,NA,AM_CA_CE_AF_PP,"Tropical & Subtropical Grasslands, Savannas & Shrublands",21.88,no,no,yes
Gymnophthalmidae,Cercosaura,Cercosaura oshaughnessyi,Diurnal,4 well developed limbs,oviparous,NA,AM,Tropical & Subtropical Moist Broadleaf Forests,12.07,no,yes,yes
Gymnophthalmidae,Cercosaura,Cercosaura parkeri,Diurnal,4 well developed limbs,oviparous,Forest,AM_CE_PT,Tropical & Subtropical Moist Broadleaf Forests,13.75,no,yes,yes
