family,genus,species,activity,limbs,reproduction,habitat,biomes,major_biome_gard,Seasonality.Precipitation..coefficient.of.variation...100.,cerrado_endemic,phylogeny,distribution
Dipsadidae,Xenodon,Xenodon matogrossensis,NA,limbless,oviparous,Savanna_Wetlands,CE_PT,Flooded Grassleands & Savannas,0.2,yes,yes,yes
Dipsadidae,Xenodon,Xenodon merremii,NA,limbless,oviparous,NA,AM_CA_CE_AF_PP_PT,"Tropical & Subtropical Grasslands, Savannas & Shrublands",0.2,no,yes,yes
Dipsadidae,Xenodon,Xenodon nattereri,NA,limbless,oviparous,Grassland_Savanna,AM_CA_CE_AF,"Tropical & Subtropical Grasslands, Savannas & Shrublands",0.2,yes,yes,yes
Dipsadidae,Xenodon,Xenodon neuwiedii,NA,limbless,oviparous,Forest,CE_AF_PP,Tropical & Subtropical Moist Broadleaf Forests,0.2,no,yes,yes
Dipsadidae,Xenodon,Xenodon pulcher,NA,limbless,oviparous,Forest_Savanna_Shrubland,PT,"Tropical & Subtropical Grasslands, Savannas & Shrublands",0.3,no,yes,yes
Dipsadidae,Xenodon,Xenodon rabdocephalus,NA,limbless,oviparous,Forest,AM_CE_AF_PT,Tropical & Subtropical Moist Broadleaf Forests,0.4,no,yes,yes
Dipsadidae,Xenodon,Xenodon severus,NA,limbless,oviparous,Forest,AM_CE,Tropical & Subtropical Moist Broadleaf Forests,0.3,no,yes,yes
Dipsadidae,Xenodon,Xenodon werneri,NA,limbless,oviparous,Forest_Wetlands,AM,Tropical & Subtropical Moist Broadleaf Forests,0.4,no,yes,yes
Dipsadidae,Xenopholis,Xenopholis scalaris,NA,limbless,oviparous,Forest,AM_CE_AF,Tropical & Subtropical Moist Broadleaf Forests,0.3,no,yes,yes
Dipsadidae,Xenopholis,Xenopholis undulatus,NA,limbless,oviparous,Savanna,CA_CE_AF,"Tropical & Subtropical Grasslands, Savannas & Shrublands",0.2,no,yes,yes
Dipsadidae,Xenopholis,Xenopholis werdingorum,NA,limbless,oviparous,Forest_Savanna,CE_PT,"Tropical & Subtropical Grasslands, Savannas & Shrublands",0.3,no,no,yes
Dipsadidae,Xenoxybelis,Xenoxybelis argenteus,Diurnal,limbless,oviparous,NA,AM,Tropical & Subtropical Moist Broadleaf Forests,0.3,no,yes,yes
Dipsadidae,Xenoxybelis,Xenoxybelis boulengeri,Diurnal,limbless,oviparous,NA,AM,Tropical & Subtropical Moist Broadleaf Forests,0.2,no,yes,yes
Dipsadidae,Zonateres,Zonateres lanei,NA,limbless,viviparous,Forest,AM_CE_PT,Tropical & Subtropical Moist Broadleaf Forests,0.3,no,yes,yes
