"order"	"family"	"species"	"biomes"	"cerrado_sp"
"Squamata"	"Leptotyphlopidae"	"Siagonodon cupinensis"	"Amazônia, Cerrado"	"yes"
"Squamata"	"Leptotyphlopidae"	"Siagonodon septemstriatus"	"Amazônia"	"no"
"Squamata"	"Dipsadidae"	"Sibon nebulatus"	"Amazônia, Caatinga, Mata Atlântica"	"no"
"Squamata"	"Colubridae"	"Simophis rhinostoma"	"Caatinga, Cerrado, Mata Atlântica, Pantanal"	"yes"
"Squamata"	"Dipsadidae"	"Siphlophis cervinus"	"Amazônia"	"no"
"Squamata"	"Dipsadidae"	"Siphlophis compressus"	"Amazônia, Caatinga, Cerrado, Mata Atlântica"	"yes"
"Squamata"	"Dipsadidae"	"Siphlophis leucocephalus"	"Caatinga, Cerrado, Mata Atlântica"	"yes"
"Squamata"	"Dipsadidae"	"Siphlophis longicaudatus"	"Cerrado, Mata Atlântica"	"yes"
"Squamata"	"Dipsadidae"	"Siphlophis pulcher"	"Mata Atlântica"	"no"
"Squamata"	"Dipsadidae"	"Siphlophis worontzowi"	"Amazônia, Cerrado"	"yes"
"Squamata"	"Dipsadidae"	"Sordellina punctata"	"Mata Atlântica"	"no"
"Squamata"	"Colubridae"	"Spilotes pullatus"	"Amazônia, Caatinga, Cerrado, Mata Atlântica, Pampa, Pantanal"	"yes"
"Squamata"	"Colubridae"	"Spilotes sulphureus"	"Amazônia, Caatinga, Cerrado, Mata Atlântica"	"yes"
"Squamata"	"Tropiduridae"	"Stenocercus albolineatus"	"Amazônia, Cerrado"	"yes"
"Squamata"	"Tropiduridae"	"Stenocercus azureus"	"Cerrado, Mata Atlântica, Pampa"	"yes"
"Squamata"	"Tropiduridae"	"Stenocercus caducus"	"Amazônia, Cerrado, Pantanal"	"yes"
"Squamata"	"Tropiduridae"	"Stenocercus canastra"	"Cerrado"	"yes"
"Squamata"	"Tropiduridae"	"Stenocercus dumerilii"	"Amazônia, Cerrado"	"yes"
"Squamata"	"Tropiduridae"	"Stenocercus fimbriatus"	"Amazônia"	"no"
"Squamata"	"Tropiduridae"	"Stenocercus quinarius"	"Cerrado"	"yes"
"Squamata"	"Tropiduridae"	"Stenocercus roseiventris"	"Amazônia"	"no"
"Squamata"	"Tropiduridae"	"Stenocercus sinesaccus"	"Cerrado"	"yes"
"Squamata"	"Tropiduridae"	"Stenocercus squarrosus"	"Caatinga, Cerrado"	"yes"
"Squamata"	"Tropiduridae"	"Stenocercus tricristatus"	"Desconhecido"	"no"
"Squamata"	"Gymnophthalmidae"	"Stenolepis ridleyi"	"Caatinga, Mata Atlântica"	"no"
"Squamata"	"Tropiduridae"	"Strobilurus torquatus"	"Caatinga, Mata Atlântica"	"no"
"Squamata"	"Dipsadidae"	"Tachymenis ocellata"	"Pampa"	"no"
"Squamata"	"Dipsadidae"	"Dibernardia affinis"	"Caatinga, Cerrado, Mata Atlântica, Pampa"	"yes"
"Squamata"	"Dipsadidae"	"Dibernardia bilineata"	"Mata Atlântica"	"no"
"Squamata"	"Dipsadidae"	"Taeniophallus brevirostris"	"Amazônia"	"no"
"Squamata"	"Dipsadidae"	"Taeniophallus nicagus"	"Amazônia"	"no"
"Squamata"	"Dipsadidae"	"Adelphostigma occipitalis"	"Amazônia, Caatinga, Cerrado, Mata Atlântica, Pampa, Pantanal"	"yes"
"Squamata"	"Dipsadidae"	"Dibernardia persimilis"	"Mata Atlântica"	"no"
"Squamata"	"Dipsadidae"	"Dibernardia poecilopogon"	"Mata Atlântica, Pampa"	"no"
"Squamata"	"Dipsadidae"	"Adelphostigma quadriocellata"	"Amazônia"	"no"
"Squamata"	"Colubridae"	"Tantilla boipiranga"	"Cerrado, Mata Atlântica"	"yes"
"Squamata"	"Colubridae"	"Tantilla melanocephala"	"Amazônia, Caatinga, Cerrado, Mata Atlântica, Pampa, Pantanal"	"yes"
"Squamata"	"Teiidae"	"Teius oculatus"	"Cerrado, Mata Atlântica, Pampa"	"yes"
"Squamata"	"Teiidae"	"Teius teyou"	"Pantanal"	"no"
"Squamata"	"Dipsadidae"	"Dryophylax almae"	"Caatinga, Mata Atlântica"	"no"
"Squamata"	"Dipsadidae"	"Thamnodynastes longicaudus"	"Mata Atlântica"	"no"
"Squamata"	"Dipsadidae"	"Thamnodynastes pallidus"	"Amazônia, Caatinga, Cerrado, Mata Atlântica"	"yes"
"Squamata"	"Dipsadidae"	"Dryophylax phoenix"	"Caatinga, Cerrado, Mata Atlântica"	"yes"
"Squamata"	"Dipsadidae"	"Mesotes rutilus"	"Cerrado, Mata Atlântica"	"yes"
"Squamata"	"Dipsadidae"	"Thamnodynastes sertanejo"	"Caatinga, Cerrado, Mata Atlântica"	"yes"
"Squamata"	"Dipsadidae"	"Thamnodynastes silvai"	"Amazônia"	"no"
"Squamata"	"Phyllodactylidae"	"Thecadactylus rapicauda"	"Amazônia, Cerrado"	"yes"
"Squamata"	"Phyllodactylidae"	"Thecadactylus solimoensis"	"Amazônia"	"no"
