"order"	"suborder"	"family"	"genus"	"species"	"year"	"author"
"Squamata"	"Sauria"	"Teiidae"	"Tupinambis"	"Tupinambis matipu"	"2018"	"SILVA, RIBEIRO-JÚNIOR & ÁVILA-PIRES, 2018"
"Squamata"	"Sauria"	"Teiidae"	"Tupinambis"	"Tupinambis palustris"	"2002"	"MANZANI & ABE, 2002"
"Squamata"	"Sauria"	"Teiidae"	"Tupinambis"	"Tupinambis quadrilineatus"	"1997"	"MANZANI & ABE, 1997"
"Squamata"	"Sauria"	"Teiidae"	"Tupinambis"	"Tupinambis teguixin"	"1758"	"(LINNAEUS, 1758)"
"Squamata"	"Serpentes"	"Anomalepididae"	"Typhlophis"	"Typhlophis squamosus"	"1839"	"(SCHLEGEL, 1839)"
"Squamata"	"Sauria"	"Tropiduridae"	"Uracentron"	"Uracentron azureum"	"1758"	"(LINNAEUS, 1758)"
"Squamata"	"Sauria"	"Tropiduridae"	"Uracentron"	"Uracentron flaviceps"	"1855"	"(GUICHENOT, 1855)"
"Squamata"	"Sauria"	"Tropiduridae"	"Uranoscodon"	"Uranoscodon superciliosus"	"1758"	"(LINNAEUS, 1758)"
"Squamata"	"Sauria"	"Leiosauridae"	"Urostrophus"	"Urostrophus grilli"	"1891"	"(BOULENGER, 1891)"
"Squamata"	"Sauria"	"Leiosauridae"	"Urostrophus"	"Urostrophus longicauda"	"1891"	"(BOULENGER, 1891)"
"Squamata"	"Sauria"	"Leiosauridae"	"Urostrophus"	"Urostrophus undulatus"	"1834"	"(WIEGMANN, 1834)"
"Squamata"	"Sauria"	"Leiosauridae"	"Urostrophus"	"Urostrophus vautieri"	"1837"	"DUMÉRIL & BIBRON, 1837"
"Squamata"	"Serpentes"	"Colubridae"	"Urotheca"	"Urotheca multilineata"	"1863"	"(PETERS, 1863)"
"Squamata"	"Sauria"	"Gymnophthalmidae"	"Vanzosaura"	"Vanzosaura multiscutata"	"1933"	"(AMARAL, 1933)"
"Squamata"	"Sauria"	"Gymnophthalmidae"	"Vanzosaura"	"Vanzosaura rubricauda"	"1902"	"(BOULENGER, 1902)"
"Squamata"	"Sauria"	"Gymnophthalmidae"	"Vanzosaura"	"Vanzosaura savanicola"	"2014"	"RECODER, WERNECK, TEXEIRA JR, COLLI, SITES & RODRIGUES, 2014"
"Squamata"	"Serpentes"	"Colubridae"	"Xenodon"	"Xenodon dorbignyi"	"1854"	"(BIBRON, 1854)"
"Squamata"	"Serpentes"	"Colubridae"	"Xenodon"	"Xenodon guentheri"	"1894"	"BOULENGER, 1894"
"Squamata"	"Serpentes"	"Colubridae"	"Xenodon"	"Xenodon histricus"	"1863"	"(JAN, 1863)"
"Squamata"	"Serpentes"	"Colubridae"	"Xenodon"	"Xenodon matogrossensis"	"1993"	"(SCROCCHI & CRUZ, 1993)"
"Squamata"	"Serpentes"	"Colubridae"	"Xenodon"	"Xenodon merremii"	"1824"	"(WAGLER, 1824)"
"Squamata"	"Serpentes"	"Colubridae"	"Xenodon"	"Xenodon nattereri"	"1867"	"(STEINDACHNER, 1867)"
"Squamata"	"Serpentes"	"Colubridae"	"Xenodon"	"Xenodon neuwiedii"	"1863"	"GÜNTHER, 1863"
"Squamata"	"Serpentes"	"Colubridae"	"Xenodon"	"Xenodon pulcher"	"1863"	"(JAN, 1863)"
"Squamata"	"Serpentes"	"Colubridae"	"Xenodon"	"Xenodon rabdocephalus"	"1824"	"(WIED-NEUWIED, 1824)"
"Squamata"	"Serpentes"	"Colubridae"	"Xenodon"	"Xenodon severus"	"1758"	"(LINNAEUS, 1758)"
"Squamata"	"Serpentes"	"Colubridae"	"Xenodon"	"Xenodon werneri"	"1963"	"(EISELT, 1963)"
"Squamata"	"Serpentes"	"Colubridae"	"Xenopholis"	"Xenopholis scalaris"	"1861"	"(WUCHERER, 1861)"
"Squamata"	"Serpentes"	"Colubridae"	"Xenopholis"	"Xenopholis undulatus"	"1900"	"(JENSEN, 1900)"
"Squamata"	"Serpentes"	"Colubridae"	"Xenopholis"	"Xenopholis werdingorum"	"2009"	"JANSEN, ÁLVAREZ & KÖHLER, 2009"
"Squamata"	"Serpentes"	"Colubridae"	"Xenoxybelis"	"Xenoxybelis argenteus"	"1803"	"(DAUDIN, 1803)"
"Squamata"	"Serpentes"	"Colubridae"	"Xenoxybelis"	"Xenoxybelis boulengeri"	"1923"	"(PROCTER, 1923)"
"Squamata"	"Serpentes"	"Colubridae"	"Zonateres"	"Zonateres lanei"	"2005"	"BAILEY, THOMAS & DA SILVA, 2005"
