"order"	"suborder"	"family"	"genus"	"species"	"year"	"author"
"Squamata"	"Sauria"	"Gymnophthalmidae"	"Placosoma"	"Placosoma glabellum"	"1870"	"(PETERS, 1870)"
"Squamata"	"Sauria"	"Gymnophthalmidae"	"Placosoma"	"Placosoma limaverdorum"	"2016"	"BORGES-NOJOSA, CARAMASCHI & RODRIGUES, 2016"
"Testudines"	NA	"Chelidae"	"Platemys"	"Platemys platycephala"	"1792"	"(SCHNEIDER, 1792)"
"Squamata"	"Sauria"	"Tropiduridae"	"Plica"	"Plica kathleenae"	"2013"	"MURPHY & JOWERS, 2013"
"Squamata"	"Sauria"	"Tropiduridae"	"Plica"	"Plica umbra"	"1758"	"(LINNAEUS, 1758)"
"Testudines"	NA	"Podocnemididae"	"Podocnemis"	"Podocnemis erythrocephala"	"1824"	"(SPIX, 1824)"
"Testudines"	NA	"Podocnemididae"	"Podocnemis"	"Podocnemis expansa"	"1812"	"(SCHWEIGGER, 1812)"
"Testudines"	NA	"Podocnemididae"	"Podocnemis"	"Podocnemis sextuberculata"	"1849"	"CORNALIA, 1849"
"Testudines"	NA	"Podocnemididae"	"Podocnemis"	"Podocnemis unifilis"	"1848"	"TROSCHEL, 1848"
"Squamata"	"Sauria"	"Polychrotidae"	"Polychrus"	"Polychrus acutirostris"	"1825"	"SPIX, 1825"
"Squamata"	"Sauria"	"Polychrotidae"	"Polychrus"	"Polychrus liogaster"	"1908"	"BOULENGER, 1908"
"Squamata"	"Sauria"	"Polychrotidae"	"Polychrus"	"Polychrus marmoratus"	"1758"	"(LINNAEUS, 1758)"
"Squamata"	"Sauria"	"Gymnophthalmidae"	"Potamites"	"Potamites ecpleopus"	"1875"	"(COPE, 1875)"
"Squamata"	"Sauria"	"Gymnophthalmidae"	"Potamites"	"Potamites juruazensis"	"1998"	"(AVILA-PIRES & VITT, 1998)"
"Squamata"	"Sauria"	"Gymnophthalmidae"	"Procellosaurinus"	"Procellosaurinus erythrocercus"	"1991"	"RODRIGUES, 1991"
