"family"	"genus"	"species"	"author"	"range"	"year"	"latitude"	"longitude"
"Dipsadidae"	"Atractus"	"Atractus edioi"	"Silva Jr. et al., 2005"	"Restricted"	2005	-13.5333	-48.2417
"Dipsadidae"	"Atractus"	"Atractus pantostictus"	"Fernandes and Puorto, 1993"	"Partial"	1993	-23.3217	-46.7269
"Dipsadidae"	"Atractus"	"Atractus spinalis"	"Passos et al., 2013"	"Restricted"	2013	-19.2469	-43.5097
"Dipsadidae"	"Atractus"	"Atractus stygius"	"Passos et al., 2019"	"Partial"	2019	-12.4972	-57.875
"Gymnophthalmidae"	"Bachia"	"Bachia bresslaui"	"(Amaral, 1935)"	"Partial"	1935	NA	NA
"Gymnophthalmidae"	"Bachia"	"Bachia cacerensis"	"Castrillon & Strüssmann, 1998"	"Restricted"	1998	-16.3863	-57.917
"Gymnophthalmidae"	"Bachia"	"Bachia didactyla"	"Freitas et al., 2011"	"Restricted"	2011	-13.5329	-58.7996
"Gymnophthalmidae"	"Bachia"	"Bachia geralista"	"Teixeira et al., 2012"	"Restricted"	2012	-15.15	-44.3
"Gymnophthalmidae"	"Bachia"	"Bachia micromela"	"Rodrigues et al., 2007"	"Restricted"	2007	-8.6333	-48.4167
"Gymnophthalmidae"	"Bachia"	"Bachia oxyrhina"	"Rodrigues et al., 2008"	"Restricted"	2008	-10.8661	-46.8192
"Gymnophthalmidae"	"Bachia"	"Bachia psamophila"	"Rodrigues et al., 2007"	"Restricted"	2007	-10.0333	-48.3833
"Viperidae"	"Bothrops"	"Bothrops itapetiningae"	"(Boulenger, 1907)"	"Partial"	1907	-23.5917	-48.0531
"Viperidae"	"Bothrops"	"Bothrops marmoratus"	"Silva & Rodrigues, 2008"	"Partial"	2008	-17.7167	-48.15
"Viperidae"	"Bothrops"	"Bothrops moojeni"	"Hoge, 1966"	"Wide"	1866	-15.8858	-47.9983
"Viperidae"	"Bothrops"	"Bothrops pauloensis"	"Amaral, 1925"	"Partial"	1925	-22.1833	-47.3833
"Colubridae"	"Chironius"	"Chironius brazili"	"Hamdan & Fernandes, 2015"	"Partial"	2015	-20.0747	-43.4075
"Sphaerodactylidae"	"Coleodactylus"	"Coleodactylus brachystoma"	"(Amaral, 1935)"	"Partial"	1935	-13.5	-48.35
"Gymnophthalmidae"	"Colobosaura"	"Colobosaura modesta"	"(Reinhardt & Lütken, 1862)"	"Wide"	1862	-18.5333	-44.6
"Colubridae"	"Drymoluber"	"Drymoluber brazili"	"(Gomes, 1918)"	"Wide"	1918	-19.7483	-47.9319
"Leiosauridae"	"Enyalius"	"Enyalius capetinga"	"Breitman et al., 2018"	"Restricted"	2018	-15.9467	-47.8686
"Boidae"	"Epicrates"	"Epicrates crassus"	"Cope, 1862"	"Wide"	1862	NA	NA
"Leptotyphlopidae"	"Epictia"	"Epictia clinorostris"	"Arredondo & Zaher, 2010"	"Restricted"	2010	-15.2389	-53.2431
