"order"	"family"	"genus"	"species"	"biomes"
"Squamata"	"Dipsadidae"	"Calamodontophis"	"Calamodontophis paucidens"	"Pampa"
"Squamata"	"Dipsadidae"	"Calamodontophis"	"Calamodontophis ronaldoi"	"Atlantic Forest"
"Squamata"	"Gymnophthalmidae"	"Calyptommatus"	"Calyptommatus confusionibus"	"Caatinga, Cerrado"
"Squamata"	"Gymnophthalmidae"	"Calyptommatus"	"Calyptommatus leiolepis"	"Caatinga, Cerrado"
"Squamata"	"Gymnophthalmidae"	"Calyptommatus"	"Calyptommatus nicterus"	"Caatinga"
"Squamata"	"Gymnophthalmidae"	"Calyptommatus"	"Calyptommatus sinebrachiatus"	"Caatinga"
"Squamata"	"Gymnophthalmidae"	"Caparaonia"	"Caparaonia itaiquara"	"Atlantic Forest"
"Squamata"	"Dipsadidae"	"Cercophis"	"Cercophis auratus"	""
"Squamata"	"Gymnophthalmidae"	"Cercosaura"	"Cercosaura anordosquama"	"Amazon"
"Squamata"	"Gymnophthalmidae"	"Cercosaura"	"Cercosaura argulus"	"Amazon"
"Squamata"	"Gymnophthalmidae"	"Cercosaura"	"Cercosaura bassleri"	"Amazon"
"Squamata"	"Gymnophthalmidae"	"Cercosaura"	"Cercosaura eigenmanni"	"Amazon, Cerrado, Pantanal"
"Squamata"	"Gymnophthalmidae"	"Cercosaura"	"Cercosaura ocellata"	"Amazon"
"Squamata"	"Gymnophthalmidae"	"Cercosaura"	"Cercosaura olivacea"	"Amazon, Caatinga, Cerrado, Atlantic Forest, Pampa"
"Squamata"	"Gymnophthalmidae"	"Cercosaura"	"Cercosaura oshaughnessyi"	"Amazon"
"Squamata"	"Gymnophthalmidae"	"Cercosaura"	"Cercosaura parkeri"	"Amazon, Cerrado, Pantanal"
"Squamata"	"Gymnophthalmidae"	"Cercosaura"	"Cercosaura quadrilineata"	"Cerrado, Atlantic Forest"
"Squamata"	"Gymnophthalmidae"	"Cercosaura"	"Cercosaura schreibersii"	"Amazon, Cerrado, Atlantic Forest, Pampa"
"Squamata"	"Sphaerodactylidae"	"Chatogekko"	"Chatogekko amazonicus"	"Amazon"
"Squamata"	"Colubridae"	"Chironius"	"Chironius bicarinatus"	"Caatinga, Cerrado, Atlantic Forest, Pampa, Pantanal"
"Squamata"	"Colubridae"	"Chironius"	"Chironius brazili"	"Cerrado, Atlantic Forest, Pampa"
"Squamata"	"Colubridae"	"Chironius"	"Chironius carinatus"	"Amazon, Caatinga, Cerrado, Atlantic Forest"
"Squamata"	"Colubridae"	"Chironius"	"Chironius diamantina"	"Caatinga"
"Squamata"	"Colubridae"	"Chironius"	"Chironius dixoni"	"Amazon, Cerrado, Pantanal"
"Squamata"	"Colubridae"	"Chironius"	"Chironius exoletus"	"Amazon, Caatinga, Cerrado, Atlantic Forest, Pampa, Pantanal"
"Squamata"	"Colubridae"	"Chironius"	"Chironius flavolineatus"	"Amazon, Caatinga, Cerrado, Atlantic Forest, Pantanal"
"Squamata"	"Colubridae"	"Chironius"	"Chironius foveatus"	"Cerrado, Atlantic Forest, Coastal-Marine"
"Squamata"	"Colubridae"	"Chironius"	"Chironius fuscus"	"Amazon, Cerrado, Atlantic Forest, Pantanal"
"Squamata"	"Colubridae"	"Chironius"	"Chironius gouveai"	"Atlantic Forest, Pampa"
"Squamata"	"Colubridae"	"Chironius"	"Chironius laevicollis"	"Cerrado, Atlantic Forest, Coastal-Marine"
"Squamata"	"Colubridae"	"Chironius"	"Chironius maculoventris"	"Pampa"
"Squamata"	"Colubridae"	"Chironius"	"Chironius multiventris"	"Amazon"
"Squamata"	"Colubridae"	"Chironius"	"Chironius quadricarinatus"	"Caatinga, Cerrado, Atlantic Forest, Pantanal"
"Squamata"	"Colubridae"	"Chironius"	"Chironius scurrula"	"Amazon, Cerrado"
"Squamata"	"Dipsadidae"	"Chlorosoma"	"Chlorosoma dunupyana"	"Amazon"
"Squamata"	"Dipsadidae"	"Chlorosoma"	"Chlorosoma laticeps"	"Atlantic Forest"
"Squamata"	"Dipsadidae"	"Chlorosoma"	"Chlorosoma viridissimum"	"Amazon, Cerrado, Atlantic Forest, Pantanal"
"Squamata"	"Dipsadidae"	"Clelia"	"Clelia clelia"	"Amazon, Cerrado, Pantanal"
"Squamata"	"Dipsadidae"	"Clelia"	"Clelia hussami"	"Atlantic Forest"
"Squamata"	"Dipsadidae"	"Clelia"	"Clelia plumbea"	"Amazon, Caatinga, Cerrado, Atlantic Forest, Pampa, Pantanal"
"Squamata"	"Teiidae"	"Cnemidophorus"	"Cnemidophorus cryptus"	"Amazon, Cerrado"
"Squamata"	"Teiidae"	"Cnemidophorus"	"Cnemidophorus gramivagus"	"Amazon"
"Squamata"	"Teiidae"	"Cnemidophorus"	"Cnemidophorus lemniscatus"	"Amazon"
"Squamata"	"Sphaerodactylidae"	"Coleodactylus"	"Coleodactylus brachystoma"	"Amazon, Cerrado, Pantanal"
"Squamata"	"Sphaerodactylidae"	"Coleodactylus"	"Coleodactylus elizae"	"Atlantic Forest"
"Squamata"	"Sphaerodactylidae"	"Coleodactylus"	"Coleodactylus meridionalis"	"Amazon, Caatinga, Cerrado, Atlantic Forest"
"Squamata"	"Sphaerodactylidae"	"Coleodactylus"	"Coleodactylus natalensis"	"Atlantic Forest"
"Squamata"	"Sphaerodactylidae"	"Coleodactylus"	"Coleodactylus septentrionalis"	"Amazon"
"Squamata"	"Gymnophthalmidae"	"Colobodactylus"	"Colobodactylus dalcyanus"	"Atlantic Forest"
"Squamata"	"Gymnophthalmidae"	"Colobodactylus"	"Colobodactylus taunayi"	"Atlantic Forest"
"Squamata"	"Gymnophthalmidae"	"Colobosaura"	"Colobosaura modesta"	"Amazon, Caatinga, Cerrado, Atlantic Forest"
"Squamata"	"Gymnophthalmidae"	"Colobosauroides"	"Colobosauroides carvalhoi"	"Caatinga, Cerrado"
"Squamata"	"Gymnophthalmidae"	"Colobosauroides"	"Colobosauroides cearensis"	"Caatinga"
"Squamata"	"Teiidae"	"Contomastix"	"Contomastix lacertoides"	"Atlantic Forest, Pampa"
"Squamata"	"Teiidae"	"Contomastix"	"Contomastix vacariensis"	"Cerrado, Atlantic Forest"
"Squamata"	"Mabuyidae"	"Copeoglossum"	"Copeoglossum arajara"	"Caatinga"
"Squamata"	"Mabuyidae"	"Copeoglossum"	"Copeoglossum nigropunctatum"	"Amazon, Caatinga, Cerrado, Atlantic Forest, Pantanal"
"Squamata"	"Boidae"	"Corallus"	"Corallus batesii"	"Amazon, Cerrado"
"Squamata"	"Boidae"	"Corallus"	"Corallus caninus"	"Amazon"
"Squamata"	"Boidae"	"Corallus"	"Corallus cropanii"	"Atlantic Forest"
"Squamata"	"Boidae"	"Corallus"	"Corallus hortulana"	"Amazon, Caatinga, Cerrado, Atlantic Forest, Pantanal"
"Squamata"	"Dipsadidae"	"Coronelaps"	"Coronelaps lepidus"	"Caatinga, Cerrado, Atlantic Forest"
"Squamata"	"Teiidae"	"Crocodilurus"	"Crocodilurus amazonicus"	"Amazon"
"Squamata"	"Viperidae"	"Crotalus"	"Crotalus durissus"	"Amazon, Caatinga, Cerrado, Atlantic Forest, Pampa, Pantanal"
"Squamata"	"Colubridae"	"Dendrophidion"	"Dendrophidion atlantica"	"Caatinga, Atlantic Forest"
"Squamata"	"Colubridae"	"Dendrophidion"	"Dendrophidion dendrophis"	"Amazon, Cerrado"
"Squamata"	"Dipsadidae"	"Dibernardia"	"Dibernardia affinis"	"Caatinga, Cerrado, Atlantic Forest, Pampa"
"Squamata"	"Dipsadidae"	"Dibernardia"	"Dibernardia bilineata"	"Atlantic Forest"
"Squamata"	"Dipsadidae"	"Dibernardia"	"Dibernardia persimilis"	"Atlantic Forest"
"Squamata"	"Dipsadidae"	"Dibernardia"	"Dibernardia poecilopogon"	"Atlantic Forest, Pampa"
"Squamata"	"Diploglossidae"	"Diploglossus"	"Diploglossus fasciatus"	"Amazon, Atlantic Forest"
"Squamata"	"Diploglossidae"	"Diploglossus"	"Diploglossus lessonae"	"Caatinga, Atlantic Forest"
"Squamata"	"Dipsadidae"	"Dipsas"	"Dipsas albifrons"	"Atlantic Forest"
"Squamata"	"Dipsadidae"	"Dipsas"	"Dipsas alternans"	"Atlantic Forest, Pampa, Coastal-Marine"
"Squamata"	"Dipsadidae"	"Dipsas"	"Dipsas bothropoides"	"Atlantic Forest"
"Squamata"	"Dipsadidae"	"Dipsas"	"Dipsas bucephala"	"Amazon, Cerrado, Atlantic Forest"
"Squamata"	"Dipsadidae"	"Dipsas"	"Dipsas catesbyi"	"Amazon, Cerrado, Atlantic Forest, Pantanal"
"Squamata"	"Dipsadidae"	"Dipsas"	"Dipsas copei"	"Amazon"
"Squamata"	"Dipsadidae"	"Dipsas"	"Dipsas indica"	"Amazon, Cerrado, Atlantic Forest"
"Squamata"	"Dipsadidae"	"Dipsas"	"Dipsas lavillai"	"Pantanal"
"Squamata"	"Dipsadidae"	"Dipsas"	"Dipsas mikanii"	"Amazon, Caatinga, Cerrado, Atlantic Forest, Pantanal"
"Squamata"	"Dipsadidae"	"Dipsas"	"Dipsas neuwiedi"	"Caatinga, Cerrado, Atlantic Forest, Pampa, Coastal-Marine"
"Squamata"	"Dipsadidae"	"Dipsas"	"Dipsas pavonina"	"Amazon, Cerrado"
"Squamata"	"Dipsadidae"	"Dipsas"	"Dipsas sazimai"	"Caatinga, Atlantic Forest"
"Squamata"	"Dipsadidae"	"Dipsas"	"Dipsas turgida"	"Amazon, Cerrado, Atlantic Forest, Pampa, Pantanal"
"Squamata"	"Dipsadidae"	"Dipsas"	"Dipsas variegata"	"Amazon, Caatinga, Atlantic Forest"
"Squamata"	"Dipsadidae"	"Dipsas"	"Dipsas ventrimaculata"	"Cerrado, Atlantic Forest, Pampa, Pantanal"
"Squamata"	"Dipsadidae"	"Ditaxodon"	"Ditaxodon taeniatus"	"Cerrado, Atlantic Forest"
"Squamata"	"Teiidae"	"Dracaena"	"Dracaena guianensis"	"Amazon"
"Squamata"	"Teiidae"	"Dracaena"	"Dracaena paraguayensis"	"Cerrado, Pantanal"
"Squamata"	"Dipsadidae"	"Drepanoides"	"Drepanoides anomalus"	"Amazon, Cerrado"
"Squamata"	"Gymnophthalmidae"	"Dryadosaura"	"Dryadosaura nordestina"	"Caatinga, Atlantic Forest"
"Squamata"	"Colubridae"	"Drymarchon"	"Drymarchon corais"	"Amazon, Caatinga, Cerrado, Atlantic Forest, Pantanal"
"Squamata"	"Colubridae"	"Drymobius"	"Drymobius rhombifer"	"Amazon"
"Squamata"	"Colubridae"	"Drymoluber"	"Drymoluber brazili"	"Amazon, Caatinga, Cerrado, Atlantic Forest"
"Squamata"	"Colubridae"	"Drymoluber"	"Drymoluber dichrous"	"Amazon, Caatinga, Cerrado, Atlantic Forest"
"Squamata"	"Dipsadidae"	"Dryophylax"	"Dryophylax almae"	"Caatinga, Atlantic Forest"
"Squamata"	"Dipsadidae"	"Dryophylax"	"Dryophylax chaquensis"	"Cerrado, Pantanal"
"Squamata"	"Dipsadidae"	"Dryophylax"	"Dryophylax hypoconia"	"Caatinga, Cerrado, Atlantic Forest, Pampa, Pantanal"
"Squamata"	"Dipsadidae"	"Dryophylax"	"Dryophylax nattereri"	"Caatinga, Cerrado, Atlantic Forest, Pampa"
"Squamata"	"Dipsadidae"	"Dryophylax"	"Dryophylax phoenix"	"Caatinga, Cerrado, Atlantic Forest"
"Squamata"	"Dipsadidae"	"Dryophylax"	"Dryophylax ramonriveroi"	"Amazon"
"Squamata"	"Dipsadidae"	"Echinanthera"	"Echinanthera cephalomaculata"	"Caatinga, Atlantic Forest"
"Squamata"	"Dipsadidae"	"Echinanthera"	"Echinanthera cephalostriata"	"Cerrado, Atlantic Forest"
"Squamata"	"Dipsadidae"	"Echinanthera"	"Echinanthera cyanopleura"	"Atlantic Forest, Pampa"
"Squamata"	"Dipsadidae"	"Echinanthera"	"Echinanthera melanostigma"	"Cerrado, Atlantic Forest"
"Squamata"	"Dipsadidae"	"Echinanthera"	"Echinanthera undulata"	"Cerrado, Atlantic Forest"
"Squamata"	"Gymnophthalmidae"	"Ecpleopus"	"Ecpleopus gaudichaudii"	"Atlantic Forest"
"Squamata"	"Dipsadidae"	"Elapomorphus"	"Elapomorphus quinquelineatus"	"Cerrado, Atlantic Forest"
"Squamata"	"Dipsadidae"	"Elapomorphus"	"Elapomorphus wuchereri"	"Atlantic Forest"
"Squamata"	"Hoplocercidae"	"Enyalioides"	"Enyalioides laticeps"	"Amazon"
"Squamata"	"Hoplocercidae"	"Enyalioides"	"Enyalioides palpebralis"	"Amazon"
"Squamata"	"Leiosauridae"	"Enyalius"	"Enyalius bibronii"	"Caatinga, Cerrado, Atlantic Forest"
"Squamata"	"Leiosauridae"	"Enyalius"	"Enyalius bilineatus"	"Caatinga, Cerrado, Atlantic Forest"
"Squamata"	"Leiosauridae"	"Enyalius"	"Enyalius boulengeri"	"Atlantic Forest"
"Squamata"	"Leiosauridae"	"Enyalius"	"Enyalius brasiliensis"	"Atlantic Forest"
"Squamata"	"Leiosauridae"	"Enyalius"	"Enyalius capetinga"	"Cerrado"
"Squamata"	"Leiosauridae"	"Enyalius"	"Enyalius catenatus"	"Caatinga, Cerrado, Atlantic Forest"
"Squamata"	"Leiosauridae"	"Enyalius"	"Enyalius erythroceneus"	"Caatinga"
"Squamata"	"Leiosauridae"	"Enyalius"	"Enyalius iheringii"	"Atlantic Forest, Pampa"
"Squamata"	"Leiosauridae"	"Enyalius"	"Enyalius leechii"	"Amazon, Cerrado"
"Squamata"	"Leiosauridae"	"Enyalius"	"Enyalius perditus"	"Atlantic Forest"
"Squamata"	"Leiosauridae"	"Enyalius"	"Enyalius pictus"	"Caatinga, Cerrado, Atlantic Forest"
"Squamata"	"Boidae"	"Epicrates"	"Epicrates assisi"	"Caatinga, Cerrado, Atlantic Forest"
"Squamata"	"Boidae"	"Epicrates"	"Epicrates cenchria"	"Amazon, Caatinga, Cerrado, Atlantic Forest, Pantanal"
"Squamata"	"Boidae"	"Epicrates"	"Epicrates crassus"	"Amazon, Caatinga, Cerrado, Atlantic Forest, Pantanal"
"Squamata"	"Boidae"	"Epicrates"	"Epicrates maurus"	"Amazon"
"Squamata"	"Leptotyphlopidae"	"Epictia"	"Epictia albifrons"	"Amazon, Cerrado"
"Squamata"	"Leptotyphlopidae"	"Epictia"	"Epictia borapeliotes"	"Caatinga, Atlantic Forest"
"Squamata"	"Leptotyphlopidae"	"Epictia"	"Epictia clinorostris"	"Cerrado"
"Squamata"	"Leptotyphlopidae"	"Epictia"	"Epictia munoai"	"Atlantic Forest, Pampa"
"Squamata"	"Leptotyphlopidae"	"Epictia"	"Epictia striatula"	"Amazon"
"Squamata"	"Leptotyphlopidae"	"Epictia"	"Epictia vellardi"	"Pantanal"
"Squamata"	"Dipsadidae"	"Erythrolamprus"	"Erythrolamprus aenigma"	"Amazon"
"Squamata"	"Dipsadidae"	"Erythrolamprus"	"Erythrolamprus aesculapii"	"Amazon, Cerrado, Atlantic Forest, Pantanal"
"Squamata"	"Dipsadidae"	"Erythrolamprus"	"Erythrolamprus almadensis"	"Amazon, Caatinga, Cerrado, Atlantic Forest, Pampa, Pantanal"
"Squamata"	"Dipsadidae"	"Erythrolamprus"	"Erythrolamprus atraventer"	"Atlantic Forest"
"Squamata"	"Dipsadidae"	"Erythrolamprus"	"Erythrolamprus breviceps"	"Amazon"
"Squamata"	"Dipsadidae"	"Erythrolamprus"	"Erythrolamprus carajasensis"	"Amazon"
"Squamata"	"Dipsadidae"	"Erythrolamprus"	"Erythrolamprus cobella"	"Amazon"
"Squamata"	"Dipsadidae"	"Erythrolamprus"	"Erythrolamprus dorsocorallinus"	"Amazon"
"Squamata"	"Dipsadidae"	"Erythrolamprus"	"Erythrolamprus frenatus"	"Cerrado, Atlantic Forest, Pantanal"
"Squamata"	"Dipsadidae"	"Erythrolamprus"	"Erythrolamprus jaegeri"	"Amazon, Cerrado, Atlantic Forest, Pampa, Pantanal"
"Squamata"	"Dipsadidae"	"Erythrolamprus"	"Erythrolamprus macrosomus"	"Amazon, Caatinga, Cerrado, Atlantic Forest, Pantanal"
"Squamata"	"Dipsadidae"	"Erythrolamprus"	"Erythrolamprus maryellenae"	"Caatinga, Cerrado, Atlantic Forest"
"Squamata"	"Dipsadidae"	"Erythrolamprus"	"Erythrolamprus miliaris"	"Amazon, Caatinga, Cerrado, Atlantic Forest, Pampa, Pantanal"
"Squamata"	"Dipsadidae"	"Erythrolamprus"	"Erythrolamprus mossoroensis"	"Caatinga, Cerrado, Atlantic Forest"
"Squamata"	"Dipsadidae"	"Erythrolamprus"	"Erythrolamprus oligolepis"	"Amazon, Cerrado"
"Squamata"	"Dipsadidae"	"Erythrolamprus"	"Erythrolamprus poecilogyrus"	"Amazon, Caatinga, Cerrado, Atlantic Forest, Pampa, Pantanal"
"Squamata"	"Dipsadidae"	"Erythrolamprus"	"Erythrolamprus pygmaeus"	"Amazon"
"Squamata"	"Dipsadidae"	"Erythrolamprus"	"Erythrolamprus reginae"	"Amazon, Caatinga, Cerrado, Atlantic Forest, Pantanal"
"Squamata"	"Dipsadidae"	"Erythrolamprus"	"Erythrolamprus rochai"	"Amazon"
"Squamata"	"Dipsadidae"	"Erythrolamprus"	"Erythrolamprus semiaureus"	"Atlantic Forest, Pampa"
"Squamata"	"Dipsadidae"	"Erythrolamprus"	"Erythrolamprus taeniogaster"	"Amazon, Caatinga, Cerrado, Atlantic Forest"
"Squamata"	"Dipsadidae"	"Erythrolamprus"	"Erythrolamprus trebbaui"	"Amazon"
"Squamata"	"Dipsadidae"	"Erythrolamprus"	"Erythrolamprus typhlus"	"Amazon, Caatinga, Cerrado, Atlantic Forest, Pantanal"
"Squamata"	"Dipsadidae"	"Erythrolamprus"	"Erythrolamprus viridis"	"Caatinga, Cerrado, Atlantic Forest, Coastal-Marine"
"Squamata"	"Boidae"	"Eunectes"	"Eunectes deschauenseei"	"Amazon"
"Squamata"	"Boidae"	"Eunectes"	"Eunectes murinus"	"Amazon, Caatinga, Cerrado, Atlantic Forest, Pantanal"
"Squamata"	"Boidae"	"Eunectes"	"Eunectes notaeus"	"Cerrado, Atlantic Forest, Pampa, Pantanal"
"Squamata"	"Tropiduridae"	"Eurolophosaurus"	"Eurolophosaurus amathites"	"Caatinga"
"Squamata"	"Tropiduridae"	"Eurolophosaurus"	"Eurolophosaurus divaricatus"	"Caatinga, Cerrado"
"Squamata"	"Tropiduridae"	"Eurolophosaurus"	"Eurolophosaurus nanuzae"	"Caatinga, Cerrado, Atlantic Forest"
"Squamata"	"Dipsadidae"	"Eutrachelophis"	"Eutrachelophis papilio"	"Amazon"
"Squamata"	"Mabuyidae"	"Exila"	"Exila nigropalmata"	"Amazon"
"Squamata"	"Teiidae"	"Glaucomastix"	"Glaucomastix abaetensis"	"Atlantic Forest, Coastal-Marine"
"Squamata"	"Teiidae"	"Glaucomastix"	"Glaucomastix cyanura"	"Caatinga"
"Squamata"	"Teiidae"	"Glaucomastix"	"Glaucomastix itabaianensis"	"Atlantic Forest"
"Squamata"	"Teiidae"	"Glaucomastix"	"Glaucomastix littoralis"	"Atlantic Forest"
"Squamata"	"Teiidae"	"Glaucomastix"	"Glaucomastix venetacauda"	"Caatinga"
"Squamata"	"Dipsadidae"	"Gomesophis"	"Gomesophis brasiliensis"	"Cerrado, Atlantic Forest, Pampa"
"Squamata"	"Sphaerodactylidae"	"Gonatodes"	"Gonatodes annularis"	"Amazon"
"Squamata"	"Sphaerodactylidae"	"Gonatodes"	"Gonatodes eladioi"	"Amazon"
"Squamata"	"Sphaerodactylidae"	"Gonatodes"	"Gonatodes hasemani"	"Amazon"
"Squamata"	"Sphaerodactylidae"	"Gonatodes"	"Gonatodes humeralis"	"Amazon, Caatinga, Cerrado, Pantanal"
"Squamata"	"Sphaerodactylidae"	"Gonatodes"	"Gonatodes nascimentoi"	"Amazon"
"Squamata"	"Sphaerodactylidae"	"Gonatodes"	"Gonatodes tapajonicus"	"Amazon"
"Squamata"	"Phyllodactylidae"	"Gymnodactylus"	"Gymnodactylus amarali"	"Amazon, Caatinga, Cerrado"
"Squamata"	"Phyllodactylidae"	"Gymnodactylus"	"Gymnodactylus darwinii"	"Caatinga, Atlantic Forest"
"Squamata"	"Phyllodactylidae"	"Gymnodactylus"	"Gymnodactylus geckoides"	"Caatinga, Cerrado, Atlantic Forest"
"Squamata"	"Phyllodactylidae"	"Gymnodactylus"	"Gymnodactylus guttulatus"	"Cerrado"
"Squamata"	"Phyllodactylidae"	"Gymnodactylus"	"Gymnodactylus vanzolinii"	"Caatinga"
"Squamata"	"Gymnophthalmidae"	"Gymnophthalmus"	"Gymnophthalmus leucomystax"	"Amazon"
"Squamata"	"Gymnophthalmidae"	"Gymnophthalmus"	"Gymnophthalmus underwoodi"	"Amazon"
"Squamata"	"Gymnophthalmidae"	"Gymnophthalmus"	"Gymnophthalmus vanzoi"	"Amazon"
"Squamata"	"Leptotyphlopidae"	"Habrophallos"	"Habrophallos collaris"	"Amazon"
"Squamata"	"Dipsadidae"	"Helicops"	"Helicops acangussu"	"Amazon"
"Squamata"	"Dipsadidae"	"Helicops"	"Helicops angulatus"	"Amazon, Caatinga, Cerrado, Atlantic Forest, Pantanal"
"Squamata"	"Dipsadidae"	"Helicops"	"Helicops apiaka"	"Amazon"
"Squamata"	"Dipsadidae"	"Helicops"	"Helicops boitata"	"Pantanal"
"Squamata"	"Dipsadidae"	"Helicops"	"Helicops carinicaudus"	"Atlantic Forest, Pampa, Coastal-Marine"
"Squamata"	"Dipsadidae"	"Helicops"	"Helicops gomesi"	"Cerrado, Atlantic Forest"
"Squamata"	"Dipsadidae"	"Helicops"	"Helicops hagmanni"	"Amazon"
"Squamata"	"Dipsadidae"	"Helicops"	"Helicops infrataeniatus"	"Cerrado, Atlantic Forest, Pampa"
"Squamata"	"Dipsadidae"	"Helicops"	"Helicops leopardinus"	"Amazon, Caatinga, Cerrado, Atlantic Forest, Pantanal"
"Squamata"	"Dipsadidae"	"Helicops"	"Helicops modestus"	"Cerrado, Atlantic Forest"
"Squamata"	"Dipsadidae"	"Helicops"	"Helicops nentur"	"Caatinga, Atlantic Forest"
"Squamata"	"Dipsadidae"	"Helicops"	"Helicops phantasma"	"Cerrado"
"Squamata"	"Dipsadidae"	"Helicops"	"Helicops polylepis"	"Amazon, Cerrado, Pantanal"
"Squamata"	"Dipsadidae"	"Helicops"	"Helicops tapajonicus"	"Amazon"
"Squamata"	"Dipsadidae"	"Helicops"	"Helicops trivittatus"	"Amazon, Cerrado"
"Squamata"	"Dipsadidae"	"Helicops"	"Helicops yacu"	"Amazon"
"Squamata"	"Gekkonidae"	"Hemidactylus"	"Hemidactylus agrius"	"Caatinga, Cerrado, Atlantic Forest"
"Squamata"	"Gekkonidae"	"Hemidactylus"	"Hemidactylus brasilianus"	"Caatinga, Cerrado, Atlantic Forest"
"Squamata"	"Gekkonidae"	"Hemidactylus"	"Hemidactylus palaichthus"	"Amazon"
"Squamata"	"Gymnophthalmidae"	"Heterodactylus"	"Heterodactylus imbricatus"	"Atlantic Forest"
"Squamata"	"Gymnophthalmidae"	"Heterodactylus"	"Heterodactylus lundii"	"Cerrado, Atlantic Forest"
"Squamata"	"Gymnophthalmidae"	"Heterodactylus"	"Heterodactylus septentrionalis"	"Caatinga"
"Squamata"	"Phyllodactylidae"	"Homonota"	"Homonota uruguayensis"	"Pampa"
"Squamata"	"Hoplocercidae"	"Hoplocercus"	"Hoplocercus spinosus"	"Amazon, Caatinga, Cerrado, Atlantic Forest, Pantanal"
"Squamata"	"Dipsadidae"	"Hydrodynastes"	"Hydrodynastes bicinctus"	"Amazon, Cerrado, Atlantic Forest"
"Squamata"	"Dipsadidae"	"Hydrodynastes"	"Hydrodynastes gigas"	"Amazon, Cerrado, Atlantic Forest, Pampa, Pantanal"
"Squamata"	"Dipsadidae"	"Hydrops"	"Hydrops caesurus"	"Cerrado, Pantanal"
"Squamata"	"Dipsadidae"	"Hydrops"	"Hydrops martii"	"Amazon, Cerrado"
"Squamata"	"Dipsadidae"	"Hydrops"	"Hydrops triangularis"	"Amazon, Cerrado"
"Squamata"	"Iguanidae"	"Iguana"	"Iguana iguana"	"Amazon, Caatinga, Cerrado, Atlantic Forest, Pantanal"
"Squamata"	"Dipsadidae"	"Imantodes"	"Imantodes cenchoa"	"Amazon, Caatinga, Cerrado, Atlantic Forest, Pantanal"
"Squamata"	"Dipsadidae"	"Imantodes"	"Imantodes lentiferus"	"Amazon"
"Squamata"	"Gymnophthalmidae"	"Iphisa"	"Iphisa elegans"	"Amazon"
"Squamata"	"Teiidae"	"Kentropyx"	"Kentropyx altamazonica"	"Amazon"
"Squamata"	"Teiidae"	"Kentropyx"	"Kentropyx calcarata"	"Amazon, Caatinga, Cerrado, Atlantic Forest"
"Squamata"	"Teiidae"	"Kentropyx"	"Kentropyx paulensis"	"Amazon, Cerrado, Atlantic Forest"
"Squamata"	"Teiidae"	"Kentropyx"	"Kentropyx pelviceps"	"Amazon"
"Squamata"	"Teiidae"	"Kentropyx"	"Kentropyx striata"	"Amazon"
"Squamata"	"Teiidae"	"Kentropyx"	"Kentropyx vanzoi"	"Amazon, Cerrado, Pantanal"
"Squamata"	"Teiidae"	"Kentropyx"	"Kentropyx viridistriga"	"Pantanal"
"Squamata"	"Viperidae"	"Lachesis"	"Lachesis muta"	"Amazon, Caatinga, Cerrado, Atlantic Forest, Pantanal"
"Squamata"	"Sphaerodactylidae"	"Lepidoblepharis"	"Lepidoblepharis heyerorum"	"Amazon"
"Squamata"	"Sphaerodactylidae"	"Lepidoblepharis"	"Lepidoblepharis hoogmoedi"	"Amazon"
"Squamata"	"Gymnophthalmidae"	"Leposoma"	"Leposoma annectans"	"Atlantic Forest"
"Squamata"	"Gymnophthalmidae"	"Leposoma"	"Leposoma baturitensis"	"Caatinga, Atlantic Forest"
"Squamata"	"Gymnophthalmidae"	"Leposoma"	"Leposoma nanodactylus"	"Atlantic Forest"
"Squamata"	"Gymnophthalmidae"	"Leposoma"	"Leposoma puk"	"Atlantic Forest"
"Squamata"	"Gymnophthalmidae"	"Leposoma"	"Leposoma scincoides"	"Caatinga, Atlantic Forest"
"Squamata"	"Gymnophthalmidae"	"Leposoma"	"Leposoma sinepollex"	"Atlantic Forest"
"Squamata"	"Amphisbaenidae"	"Leposternon"	"Leposternon cerradensis"	"Cerrado"
"Squamata"	"Amphisbaenidae"	"Leposternon"	"Leposternon infraorbitale"	"Amazon, Caatinga, Cerrado, Atlantic Forest"
"Squamata"	"Amphisbaenidae"	"Leposternon"	"Leposternon kisteumacheri"	"Caatinga, Atlantic Forest"
"Squamata"	"Amphisbaenidae"	"Leposternon"	"Leposternon maximus"	"Cerrado"
"Squamata"	"Amphisbaenidae"	"Leposternon"	"Leposternon microcephalus"	"Caatinga, Cerrado, Atlantic Forest, Pantanal"
"Squamata"	"Amphisbaenidae"	"Leposternon"	"Leposternon mineiro"	"Cerrado"
"Squamata"	"Amphisbaenidae"	"Leposternon"	"Leposternon octostegum"	"Atlantic Forest"
"Squamata"	"Amphisbaenidae"	"Leposternon"	"Leposternon polystegum"	"Amazon, Caatinga, Cerrado, Atlantic Forest"
"Squamata"	"Amphisbaenidae"	"Leposternon"	"Leposternon scutigerum"	"Atlantic Forest"
"Squamata"	"Amphisbaenidae"	"Leposternon"	"Leposternon wuchereri"	"Caatinga, Atlantic Forest"
"Squamata"	"Dipsadidae"	"Leptodeira"	"Leptodeira annulata"	"Amazon, Caatinga, Cerrado, Atlantic Forest, Pantanal"
"Squamata"	"Dipsadidae"	"Leptodeira"	"Leptodeira ashmeadii"	"Amazon"
