"order"	"family"	"genus"	"species"	"biomes"
"Squamata"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena darwinii"	"Cerrado, Atlantic Forest, Pampa"
"Squamata"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena dubia"	"Atlantic Forest"
"Squamata"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena filiformis"	"Cerrado"
"Squamata"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena frontalis"	"Amazon, Caatinga, Cerrado"
"Squamata"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena fuliginosa"	"Amazon, Caatinga, Cerrado, Atlantic Forest"
"Squamata"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena hastata"	"Caatinga, Cerrado"
"Squamata"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena heathi"	"Caatinga, Atlantic Forest"
"Squamata"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena hiata"	"Pantanal"
"Squamata"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena hogei"	"Cerrado, Atlantic Forest"
"Squamata"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena hoogmoedi"	"Amazon"
"Squamata"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena ignatiana"	"Caatinga, Atlantic Forest"
"Squamata"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena kingii"	"Atlantic Forest, Pampa"
"Squamata"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena kiriri"	"Caatinga"
"Squamata"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena kraoh"	"Cerrado"
"Squamata"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena leeseri"	"Amazon, Cerrado, Atlantic Forest, Pantanal"
"Squamata"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena leucocephala"	"Atlantic Forest"
"Squamata"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena littoralis"	"Caatinga, Atlantic Forest"
"Squamata"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena longinqua"	"Caatinga"
"Squamata"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena maranhensis"	"Cerrado"
"Squamata"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena mebengokre"	"Cerrado"
"Squamata"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena mertensii"	"Cerrado, Atlantic Forest"
"Squamata"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena metallurga"	"Atlantic Forest"
"Squamata"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena miringoera"	"Amazon, Cerrado, Atlantic Forest"
"Squamata"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena mitchelli"	"Amazon"
"Squamata"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena mongoyo"	"Atlantic Forest"
"Squamata"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena munoai"	"Pampa"
"Squamata"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena nana"	"Atlantic Forest, Pampa"
"Squamata"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena neglecta"	"Cerrado"
"Squamata"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena nigricauda"	"Atlantic Forest"
"Squamata"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena persephone"	"Cerrado"
"Squamata"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena pretrei"	"Caatinga, Cerrado, Atlantic Forest"
"Squamata"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena prunicolor"	"Cerrado, Atlantic Forest, Pampa"
"Squamata"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena ridleyi"	"Atlantic Forest, Coastal-Marine"
"Squamata"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena roberti"	"Caatinga, Cerrado, Atlantic Forest"
"Squamata"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena sanctaeritae"	"Cerrado"
"Squamata"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena saxosa"	"Cerrado"
"Squamata"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena silvestrii"	"Amazon, Cerrado, Pantanal"
"Squamata"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena slevini"	"Amazon"
"Squamata"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena steindachneri"	"Amazon, Cerrado, Pantanal"
"Squamata"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena supernumeraria"	"Caatinga, Atlantic Forest"
"Squamata"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena talisiae"	"Cerrado"
"Squamata"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena tiaraju"	"Atlantic Forest"
"Squamata"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena tragorrhectes"	"Amazon"
"Squamata"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena uroxena"	"Caatinga"
"Squamata"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena vanzolinii"	"Amazon"
"Squamata"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena vermicularis"	"Amazon, Caatinga, Cerrado, Atlantic Forest, Pantanal"
"Squamata"	"Aniliidae"	"Anilius"	"Anilius scytale"	"Amazon, Caatinga, Cerrado"
"Squamata"	"Dactyloidae"	"Anolis"	"Anolis auratus"	"Amazon"
"Squamata"	"Dactyloidae"	"Anolis"	"Anolis bombiceps"	"Amazon"
"Squamata"	"Dactyloidae"	"Anolis"	"Anolis brasiliensis"	"Amazon, Caatinga, Cerrado, Atlantic Forest"
"Squamata"	"Dactyloidae"	"Anolis"	"Anolis chrysolepis"	"Amazon"
"Squamata"	"Dactyloidae"	"Anolis"	"Anolis dissimilis"	"Amazon"
"Squamata"	"Dactyloidae"	"Anolis"	"Anolis fuscoauratus"	"Amazon, Caatinga, Cerrado, Atlantic Forest"
"Squamata"	"Dactyloidae"	"Anolis"	"Anolis meridionalis"	"Amazon, Cerrado, Atlantic Forest, Pantanal"
"Squamata"	"Dactyloidae"	"Anolis"	"Anolis nasofrontalis"	"Atlantic Forest"
"Squamata"	"Dactyloidae"	"Anolis"	"Anolis neglectus"	"Atlantic Forest"
"Squamata"	"Dactyloidae"	"Anolis"	"Anolis ortonii"	"Amazon, Cerrado, Atlantic Forest"
"Squamata"	"Dactyloidae"	"Anolis"	"Anolis phyllorhinus"	"Amazon"
"Squamata"	"Dactyloidae"	"Anolis"	"Anolis planiceps"	"Amazon"
"Squamata"	"Dactyloidae"	"Anolis"	"Anolis pseudotigrinus"	"Atlantic Forest"
"Squamata"	"Dactyloidae"	"Anolis"	"Anolis punctatus"	"Amazon, Cerrado, Atlantic Forest"
"Squamata"	"Dactyloidae"	"Anolis"	"Anolis scypheus"	"Amazon"
"Squamata"	"Dactyloidae"	"Anolis"	"Anolis sericeus"	""
"Squamata"	"Dactyloidae"	"Anolis"	"Anolis tandai"	"Amazon"
"Squamata"	"Dactyloidae"	"Anolis"	"Anolis trachyderma"	"Amazon"
"Squamata"	"Dactyloidae"	"Anolis"	"Anolis transversalis"	"Amazon"
"Squamata"	"Gymnophthalmidae"	"Anotosaura"	"Anotosaura collaris"	"Caatinga"
"Squamata"	"Gymnophthalmidae"	"Anotosaura"	"Anotosaura vanzolinia"	"Caatinga, Atlantic Forest"
"Squamata"	"Dipsadidae"	"Apostolepis"	"Apostolepis adhara"	"Cerrado"
"Squamata"	"Dipsadidae"	"Apostolepis"	"Apostolepis albicollaris"	"Cerrado"
"Squamata"	"Dipsadidae"	"Apostolepis"	"Apostolepis ambiniger"	"Cerrado, Pantanal"
"Squamata"	"Dipsadidae"	"Apostolepis"	"Apostolepis arenaria"	"Caatinga"
"Squamata"	"Dipsadidae"	"Apostolepis"	"Apostolepis assimilis"	"Caatinga, Cerrado, Atlantic Forest, Pantanal"
"Squamata"	"Dipsadidae"	"Apostolepis"	"Apostolepis borellii"	"Pantanal"
"Squamata"	"Dipsadidae"	"Apostolepis"	"Apostolepis cearensis"	"Caatinga, Cerrado, Atlantic Forest"
"Squamata"	"Dipsadidae"	"Apostolepis"	"Apostolepis christineae"	"Amazon, Cerrado"
"Squamata"	"Dipsadidae"	"Apostolepis"	"Apostolepis dimidiata"	"Cerrado, Atlantic Forest, Pantanal"
"Squamata"	"Dipsadidae"	"Apostolepis"	"Apostolepis flavotorquata"	"Amazon, Caatinga, Cerrado, Atlantic Forest"
"Squamata"	"Dipsadidae"	"Apostolepis"	"Apostolepis gaboi"	"Caatinga, Cerrado"
"Squamata"	"Dipsadidae"	"Apostolepis"	"Apostolepis goiasensis"	"Amazon, Cerrado, Atlantic Forest"
"Squamata"	"Dipsadidae"	"Apostolepis"	"Apostolepis intermedia"	"Amazon, Cerrado, Pantanal"
"Squamata"	"Dipsadidae"	"Apostolepis"	"Apostolepis kikoi"	"Cerrado"
"Squamata"	"Dipsadidae"	"Apostolepis"	"Apostolepis lineata"	"Cerrado"
"Squamata"	"Dipsadidae"	"Apostolepis"	"Apostolepis longicaudata"	"Amazon, Cerrado, Atlantic Forest"
"Squamata"	"Dipsadidae"	"Apostolepis"	"Apostolepis nelsonjorgei"	"Amazon, Cerrado"
"Squamata"	"Dipsadidae"	"Apostolepis"	"Apostolepis nigrolineata"	"Amazon"
"Squamata"	"Dipsadidae"	"Apostolepis"	"Apostolepis nigroterminata"	"Amazon, Cerrado, Pantanal"
"Squamata"	"Dipsadidae"	"Apostolepis"	"Apostolepis phillipsae"	"Amazon"
"Squamata"	"Dipsadidae"	"Apostolepis"	"Apostolepis polylepis"	"Cerrado"
"Squamata"	"Dipsadidae"	"Apostolepis"	"Apostolepis quinquelineata"	"Amazon"
"Squamata"	"Dipsadidae"	"Apostolepis"	"Apostolepis quirogai"	"Atlantic Forest"
"Squamata"	"Dipsadidae"	"Apostolepis"	"Apostolepis sanctaeritae"	"Cerrado, Atlantic Forest"
"Squamata"	"Dipsadidae"	"Apostolepis"	"Apostolepis serrana"	"Cerrado"
"Squamata"	"Dipsadidae"	"Apostolepis"	"Apostolepis striata"	"Amazon"
"Squamata"	"Dipsadidae"	"Apostolepis"	"Apostolepis thalesdelemai"	"Caatinga"
"Squamata"	"Dipsadidae"	"Apostolepis"	"Apostolepis vittata"	"Cerrado"
"Squamata"	"Gymnophthalmidae"	"Arthrosaura"	"Arthrosaura kockii"	"Amazon"
"Squamata"	"Gymnophthalmidae"	"Arthrosaura"	"Arthrosaura reticulata"	"Amazon, Cerrado"
"Squamata"	"Gymnophthalmidae"	"Arthrosaura"	"Arthrosaura versteegii"	"Amazon"
"Squamata"	"Mabuyidae"	"Aspronema"	"Aspronema dorsivittatum"	"Cerrado, Atlantic Forest, Pampa"
"Squamata"	"Dipsadidae"	"Atractus"	"Atractus aboiporu"	"Amazon"
"Squamata"	"Dipsadidae"	"Atractus"	"Atractus akerios"	"Amazon"
"Squamata"	"Dipsadidae"	"Atractus"	"Atractus albuquerquei"	"Amazon, Cerrado, Atlantic Forest"
"Squamata"	"Dipsadidae"	"Atractus"	"Atractus alphonsehogei"	"Amazon"
"Squamata"	"Dipsadidae"	"Atractus"	"Atractus altagratiae"	"Amazon"
"Squamata"	"Dipsadidae"	"Atractus"	"Atractus badius"	"Amazon"
"Squamata"	"Dipsadidae"	"Atractus"	"Atractus boimirim"	"Amazon"
"Squamata"	"Dipsadidae"	"Atractus"	"Atractus caete"	"Atlantic Forest"
"Squamata"	"Dipsadidae"	"Atractus"	"Atractus caxiuana"	"Amazon"
"Squamata"	"Dipsadidae"	"Atractus"	"Atractus collaris"	"Amazon"
"Squamata"	"Dipsadidae"	"Atractus"	"Atractus dapsilis"	"Amazon"
"Squamata"	"Dipsadidae"	"Atractus"	"Atractus edioi"	"Cerrado"
"Squamata"	"Dipsadidae"	"Atractus"	"Atractus elaps"	"Amazon"
"Squamata"	"Dipsadidae"	"Atractus"	"Atractus emmeli"	"Amazon"
"Squamata"	"Dipsadidae"	"Atractus"	"Atractus flammigerus"	"Amazon"
"Squamata"	"Dipsadidae"	"Atractus"	"Atractus francoi"	"Atlantic Forest"
"Squamata"	"Dipsadidae"	"Atractus"	"Atractus guentheri"	"Atlantic Forest"
"Squamata"	"Dipsadidae"	"Atractus"	"Atractus hoogmoedi"	"Amazon"
"Squamata"	"Dipsadidae"	"Atractus"	"Atractus insipidus"	"Amazon"
"Squamata"	"Dipsadidae"	"Atractus"	"Atractus latifrons"	"Amazon, Cerrado, Pantanal"
"Squamata"	"Dipsadidae"	"Atractus"	"Atractus maculatus"	"Atlantic Forest"
"Squamata"	"Dipsadidae"	"Atractus"	"Atractus major"	"Amazon"
