Species name (Binomial),GARD id,Valid (June 2026),Order,sub-order,Family,year described,Major Realm (Falaschi et al. 2023 designation),points 18June2026,only type2,Insularity,mappable (>0 points),have elevation data,max length (SVL or TL),female length  (SVL or TL),male length  (SVL or TL),"newborn size (SVL, Total length or mass)",Activity time data,substrate data,Mode of reproduction data,brood size data,Diet data,Foraging mode data,Length of Activity Season data,Population density data,Home range size data,"Body temperature in activity, data",Preferred temperature metadata,CtMin data,CtMax data,Yearly broods data,breeding age (data),Longevity data,IUCN (April 2026; classifiable?),"trend (IUCN, Apr 2026)",genetic data,score
Chalcides mauritanicus,R07210,yes,Squamata,Sauria,Scincidae,1839,Saharo-Sindian,16,no,mainland,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,16
Chalcides mertensi,R07211,yes,Squamata,Sauria,Scincidae,1954,Saharo-Sindian,13,no,mainland,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,12
Chalcides minutus,R07212,yes,Squamata,Sauria,Scincidae,1993,Saharo-Sindian,61,no,mainland,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,12
Chalcides mionecton,R07213,yes,Squamata,Sauria,Scincidae,1874,Saharo-Sindian,91,no,mainland,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,12
Chalcides montanus,R07214,yes,Squamata,Sauria,Scincidae,1931,Saharo-Sindian,21,no,mainland,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,9
Chalcides ocellatus,R07215,yes,Squamata,Sauria,Scincidae,1775,Saharo-Sindian,1120,no,mainland,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,22
Chalcides parallelus,R07216,yes,Squamata,Sauria,Scincidae,1901,Saharo-Sindian,23,no,mainland,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,12
Chalcides pentadactylus,R07217,yes,Squamata,Sauria,Scincidae,1870,Oriental,1,yes,mainland,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Chalcides polylepis,R07218,yes,Squamata,Sauria,Scincidae,1890,Saharo-Sindian,95,no,mainland,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,12
Chalcides pseudostriatus,R07219,yes,Squamata,Sauria,Scincidae,1993,Saharo-Sindian,82,no,mainland,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,13
Chalcides pulchellus,R07220,yes,Squamata,Sauria,Scincidae,1906,Afrotropic,4,no,mainland,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7
Chalcides ragazzii,R07221,yes,Squamata,Sauria,Scincidae,1890,Afrotropic,36,no,mainland,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,11
Chalcides sepsoides,R07222,yes,Squamata,Sauria,Scincidae,1829,Saharo-Sindian,153,no,mainland,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,0,1,20
Chalcides sexlineatus,R07223,yes,Squamata,Sauria,Scincidae,1891,Afrotropic,1,no,insular endemic,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,14
Chalcides simonyi,R11440,yes,Squamata,Sauria,Scincidae,1891,Afrotropic,1,no,insular endemic,1,0,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,9
Chalcides sphenopsiformis,R07224,yes,Squamata,Sauria,Scincidae,1856,Saharo-Sindian,22,no,mainland,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,11
Chalcides striatus,R07225,yes,Squamata,Sauria,Scincidae,1829,Palearctic,32,no,mainland,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,16
Chalcides thierryi,R07226,yes,Squamata,Sauria,Scincidae,1901,Afrotropic,14,no,mainland,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,8
Chalcides viridanus,R07227,yes,Squamata,Sauria,Scincidae,1851,Afrotropic,37,no,insular endemic,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,15
Chalcidoseps thwaitesi,R07228,yes,Squamata,Sauria,Scincidae,1872,Oriental,9,no,insular endemic,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,14
Chamaeleo africanus,R00950,yes,Squamata,Sauria,Chamaeleonidae,1768,Afrotropic,161,no,mainland,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,1,1,1,1,1,19
Chamaeleo anchietae,R00951,yes,Squamata,Sauria,Chamaeleonidae,1872,Afrotropic,36,no,mainland,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,12
Chamaeleo arabicus,R00952,yes,Squamata,Sauria,Chamaeleonidae,1893,Saharo-Sindian,16,no,mainland,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,11
Chamaeleo calcaricarens,R00953,yes,Squamata,Sauria,Chamaeleonidae,1985,Afrotropic,26,no,mainland,1,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,10
Chamaeleo calyptratus,R00954,yes,Squamata,Sauria,Chamaeleonidae,1851,Saharo-Sindian,27,no,mainland,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,20
Chamaeleo chamaeleon,R00955,yes,Squamata,Sauria,Chamaeleonidae,1758,Saharo-Sindian,787,no,mainland,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,22
Chamaeleo dilepis,R00956,yes,Squamata,Sauria,Chamaeleonidae,1819,Afrotropic,2052,no,mainland,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,23
Chamaeleo gracilis,R00957,yes,Squamata,Sauria,Chamaeleonidae,1844,Afrotropic,637,no,mainland,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,18
Chamaeleo laevigatus,R00958,yes,Squamata,Sauria,Chamaeleonidae,1863,Afrotropic,124,no,mainland,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,14
Chamaeleo monachus,R00959,yes,Squamata,Sauria,Chamaeleonidae,1865,Afrotropic,35,no,insular endemic,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,13
Chamaeleo namaquensis,R00960,yes,Squamata,Sauria,Chamaeleonidae,1831,Afrotropic,375,no,mainland,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,1,20
Chamaeleo necasi,R00961,yes,Squamata,Sauria,Chamaeleonidae,2007,Afrotropic,11,no,mainland,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8
Chamaeleo senegalensis,R00962,yes,Squamata,Sauria,Chamaeleonidae,1802,Afrotropic,75,no,mainland,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,17
Chamaeleo zeylanicus,R00963,yes,Squamata,Sauria,Chamaeleonidae,1768,Oriental,252,no,mainland,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,15
Chamaelycus christyi,R05626,yes,Squamata,Serpentes,Lamprophiidae,1919,Afrotropic,1,no,mainland,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,8
Chamaelycus fasciatus,R05627,yes,Squamata,Serpentes,Lamprophiidae,1858,Afrotropic,29,no,mainland,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8
Chamaelycus parkeri,R05628,yes,Squamata,Serpentes,Lamprophiidae,1934,Afrotropic,7,no,mainland,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,10
Chamaesaura aenea,R01916,yes,Squamata,Sauria,Cordylidae,1843,Afrotropic,71,no,mainland,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,15
Chamaesaura anguina,R01917,yes,Squamata,Sauria,Cordylidae,1758,Afrotropic,289,no,mainland,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,13
Chamaesaura macrolepis,R01918,yes,Squamata,Sauria,Cordylidae,1862,Afrotropic,53,no,mainland,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,14
Chamaesaura miopropus,R01919,yes,Squamata,Sauria,Cordylidae,1894,Afrotropic,35,no,mainland,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,13
Chamaesaura nombo,R13622,yes,Squamata,Sauria,Cordylidae,2026,Afrotropic,12,no,mainland,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Chamaesaura tenuior,R01920,yes,Squamata,Sauria,Cordylidae,1895,Afrotropic,32,no,mainland,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,12
Chapinophis xanthocheilus,R01187,yes,Squamata,Serpentes,Colubridae,1998,Neotropic,4,no,mainland,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,8
